year	month	Almaty	Andizhan	Ashbagat	Bairam.ali	Baityk	Chardzhou	Charvak	Dzhizak	Fergana	Kattakurgan	Leninabad	Namangan	Naryn	Osh	Panfilov	Przhevalsk	Rybache	Samarkand	Serahs	Tashkent	Termez
1901	1	34	32	13	6	32.3	2	76.2	72	9	30.8	15	7	3	29.6	9.1	15	5.4	33	9.4	54	13
1901	2	1	1	4	0	3.8	0	21.1	19	2	7.7	4	0	1	0	0.8	0	0.5	9	1.3	23	0
1901	3	139	34	22	16	62.7	15	67.9	16	12	21.3	16	22	19	37.7	21.9	32	15.4	17	18.7	30	22
1901	4	102	27	21	15	56	6	75.4	39	5	38.9	10	19	15	44	24	50	13.3	65	16.6	50	7
1901	5	168	29	43	9	107.9	13	83.2	33	31	29.4	25	21	74	74	39.5	95	27.7	35	16.9	21	8
1901	6	67	38	23	0	127.1	0	120.6	0	31	17.1	35	20	125	102	42.2	135	30.1	17	5.8	67	1
1901	7	31	5	0	0	34.1	0	7.3	0	7	0.5	0	1	34	9.6	18	78	10.3	0	0.1	0	0
1901	8	17	0	0	0	10.2	0	4.6	0	0	0	2	0	2	11	7.8	38	3.3	0	0.1	3	0
1901	9	41	3	7	0	31	0	35.6	23	1	18	3	25	16	0	16.8	69	8.6	14.6	2.3	20	0
1901	10	142	95	31	10	134.8	8	204.7	85	37	43	31	78	37	109.6	45.1	122	26.6	43	16.9	117	1
1901	11	67	29.3	13	10	53.5	2	105	61	15	17	17	30	16	40.3	16.8	34	10.7	29	11.4	74	5
1901	12	36	13	23	5	21	2	18.4	11	11	13	0	3	9	14.8	7.3	15	5	5	7.5	7	6
1902	1	63	67	27	43	78.2	34	161.3	70	34	62	23	68	8	83.9	16.4	11	11.2	46	41	82	9
1902	2	40	25	29	23	30	12	47.9	21	15	30	2	17	3	28.8	8.8	15	5.5	18	22	24	8
1902	3	65	63	41	46	74.2	4	128.4	63	33	60	23	48	21	73.9	15.5	7	11.9	58	41.4	46	46
1902	4	97	68	14	5	108.1	14	157	43	54	27	38	69	43	97.5	25.8	32	19.3	46	21	51	13
1902	5	142	27	3	0	124.1	0	80.1	9	24	0	18	54	107	56.8	44.1	124	31.6	0	1.5	17	1
1902	6	62	14	0	0	50.6	0	34.3	2	11	0	2	24	40	39	15.6	32	12.1	0	0	6	0
1902	7	85	24	0	0	42.1	0	10.4	0	2	0	2	1	11	8	30.4	138	13.7	0	0	0	0
1902	8	18	0	0	0	8.7	0	0.4	0	0	0	0	0	7	0	6	26	3.2	1	0	0	0
1902	9	57	0	1	0	25.8	0	8.6	2	14	0	0	0	12	1	17.1	70	8.6	0	0	3	0
1902	10	61	49	24	6	70.2	5	105.7	27	43	40	24	31	26	38	19.5	39	13	26	28	44	3
1902	11	106	49	56	16	99	48	234.4	163	59	103	54	51	12	66	25.2	25	16.4	74	21	148	23
1902	12	46	15.2	30	20	35	23	85.7	33	15	58	25	9	8	5	14.1	41	7.6	28	23.8	66	0
1903	1	21	31.9	22	25	45.5	0	129.6	103	18	105	32	26.8	12	44.8	11.9	21	6.8	79	27	66	19
1903	2	53	37.6	19	18	53.9	16	122.3	42	29	53	29	29.7	20	52.5	13	11	9.5	33	24	71	34
1903	3	26	24.3	66	41	39	42	79.1	71	22	53	2	16	14	34.8	11.5	27	6.9	58	91	48	30
1903	4	32	1	0	2	18.4	3	30	32	2	45	5	5	8	6.7	7.9	21	4.7	41	13	14	21
1903	5	128	46	20	34	136.3	21	134.8	48	28	71	49	41	122	86	40.8	89	32	85	34	34	23
1903	6	93	19.2	5	2	63.7	0	42.1	9	8	3	36	1	59	50	17	14	15.9	10	0	2	0
1903	7	63	3	1	0	57.5	0	42	8	20	4	18	4	69	22	18.2	39	15.4	8	0	18	0
1903	8	11	2	6	0	33.8	0	12.4	2	13	0	2	1	41	19	15.3	68	9.4	0	0	0	0
1903	9	45	7	0	0	26.7	0	7	1	1	0	2	0	11	12	19.7	94	8.8	1	0	2	0
1903	10	26	9	0	0	16.6	0	14	0	3	0	3	0	9	9	7.8	27	4.5	2	0	11	0
1903	11	37	10	7	0	31	1	46.8	33	20	9	2	5	1	65	8.1	10	5.2	6	1	30	16
1903	12	17	10	23	16	23.4	2	46.2	36	4	9	13	9	15	15	5.9	9	4.6	17	23	31	6
1904	1	16	24	20	25	27.1	6	74.5	59	15	48	17.3	14	1	17	6.5	9	3.8	52	64	41	30
1904	2	22	11	19	13	10.3	2	13.5	13	1	19	1	2	1	9	3.2	3	2.2	21	34	4	3
1904	3	26	50	41	28	61.7	2	89	95	12	60	27	6	41	66	15	29	11.5	68	58	31	38
1904	4	77	34	25	16	62.8	10	90.5	54	16	42	18	15	27	39.7	23.7	68	14.2	47	23	56	20
1904	5	96	32	28	22	105.6	41	133.8	68	35	31	33	31	70	89	33.9	87	23.4	82	25	65	26
1904	6	76	11	4	0	56.6	0	16.2	1	9	0	2	4	60	19	25.4	88	16.9	0	0	1	0
1904	7	31	2	0	0	33	0	8.1	1	3	0	0	1	39	30	13.3	46	9.4	0	0	0	0
1904	8	37	5	2	0	13.1	0	3.8	1	3	0	0	0	6	7	5.8	12	3.9	0	0	0	0
1904	9	20	24	6	0	51.1	0	47.4	18	20	7	10.4	28	30	46	17.1	61	10.3	4	0	1	0
1904	10	75	9	0	2	41.6	0	57.8	27	8	11	10	36	12	28	12.6	14	9	8	14	26	6
1904	11	52	10	15	7	20.3	5	32.1	19	2	36	1	1	6	18	6.7	4	5.1	30	26	28	12
1904	12	22	33	39	20	38.8	7	98	60	17	34	21	34	8	5	8.2	7	5.6	28	16	59	21
1905	1	64	55	18	13	59.9	0	127.8	109	28	45.6	7	31.9	15	61.4	13.5	8	10	54.7	25	87	17
1905	2	6	8	14	9.5	10.3	12	30.6	25	2	15	2	4.8	1	9	3.6	12	1.8	15.2	10	26	1
1905	3	23	20	39	26.9	24.5	26	50.6	41	18	21	1	14.3	3	27.1	6.6	11	4	27.8	38	28	13
1905	4	129	34	46	30	94.7	1	107	64	23	29	34	27.5	58	51.4	31.1	66	22.3	39.4	10	48	19
1905	5	141	46	42	9	103.1	7	106.8	39	44	26	22.5	36.7	55	69.7	33.6	74	23.6	28.9	5	46	1
1905	6	91	4	0	0	52.5	2	47.5	20	22	2	31	3	29	22.1	23.5	71	14.4	11.8	0	12	0
1905	7	63	2	0	0	42.3	0	7.2	1	0	0	4	0	55	5.8	15.6	39	13	0.9	0	0	0
1905	8	50	6	2	0	48.7	0	15.2	1	18	0	0	3	51	17.5	20.5	73	13.8	1.5	0	0	0
1905	9	17	0	0	0	7.6	0	0.3	0	0	0	0	0.3	0	0.7	6.8	32	2.7	0	0	0	0
1905	10	13	3	0	0	17.7	0	17.7	3	14	1	6	7.2	12	12.7	6	19	3.9	3	0	4	0
1905	11	48	3	19	7	31.4	33	34.9	49	9	33	6	7.6	17.5	12.8	11.8	26	8	30.8	1	12	0
1905	12	32	34	37	9	43.1	8	90.1	23	21	22	17	22.7	12	42.2	13.6	38	7.8	24.9	16	57	13
1906	1	24	20	19	1	33.4	6	66.1	85	9	32.8	2	13.1	17.1	24.7	9.3	21	6	38.8	34	47	11
1906	2	17	21	22	4	36.3	7	63.7	83	19	37.3	17.2	18.1	17.7	33.3	7.9	12	5.3	40	1	21	29
1906	3	67	36	38	60	53.4	23.4	83.7	62	13	36	18.9	12	26.1	37.6	12.7	8	10.5	45	29	50	20
1906	4	84	34	33	16	70.5	17.7	109.7	115	25	46	25.7	22	34.9	48.7	17.6	17	13.9	60.3	26	55	31
1906	5	120	3	70	4	59.4	14	35.9	60	9	28	1	4	39.7	13.7	34.2	116	20.5	46	8	18	10
1906	6	32	4	13	2	34.6	1	46.4	19	25	13.9	23	3	20.9	21.3	14.6	50	8.4	15	0	18	2
1906	7	36	45	7	0	67.5	0	84.7	3	51	4	12	29	35.3	64.4	17.6	46	11.5	2	0	35	0
1906	8	68	6	0	0	53.6	0	7.6	1	1	0	0	2	73	9.8	18.4	45	16	0	0	1	0
1906	9	17	0	0	0	10.3	0	8.3	3	0	1	0	0	3	1.4	8.4	41	3.5	0	0	12	0
1906	10	37	0	17	0	18.6	0	0.7	1	0	0.1	0	0	14.7	1.3	14.7	63	7.7	0	0	0	0
1906	11	45	0	8	15	18.2	3	21.3	8	6	6.6	0	0	10.6	5.1	8.1	17	5.9	6	2	24	2
1906	12	42	18	20	12	39.7	14	63	49	11	74	14.9	0	22.2	22.1	14.3	36	9	42	21	39	24
1907	1	68	64	31	23	82	13	147.2	89	38.6	63.7	32.6	42.4	40.3	81.7	1	41	14.2	82	33	74	30
1907	2	3	1	22	16	10.8	2	29	15	2	34	7.6	3.7	5.6	5.6	3	7	1.7	63	22	14	18
1907	3	58	48	65	54	68.7	29	129.6	73	25	60.3	27.6	31.5	33.5	59.7	4	27	11.8	69	65	69	16
1907	4	163	23	64	53	94.8	51	117.1	59	13	61.8	23.5	20.8	50.7	37.4	32.8	56	24.4	58.6	59	71	20
1907	5	118	68	69	17	99.9	18	109.8	47	38	52.7	9	38.5	50.8	78.9	26.5	40	20.3	72	29.6	48	38
1907	6	89	24	0	0	54.2	0	24.8	20	7	10.1	0	10.6	33.8	23.9	25.8	84	16.2	15	0	7	1
1907	7	20	1	0	0	20.3	0	18.6	31	11	5.7	6	6.1	13.2	10.3	10.2	39	5.5	0	0	3	0
1907	8	19	15	0	0	23.2	0	11	0	6	0.8	0	6.5	15.5	14.8	12.1	51	6.3	0	0	2	0
1907	9	41	4	0	0	27.4	0	5.4	0	0	0.2	0	2.1	18	5.4	15.9	66	8.4	0	0	3	0
1907	10	83	46	11	2	72.7	2	85.8	31	20	21.5	16	25.4	45	51.1	20.6	37	15.7	24	6	47	6
