X	Y	Z	Code	Name
76.925	43.2346	847	1	Almaty
72.3514	40.7799	498	2	Andizhan
58.3296	37.9619	224	3	Ashbagat
62.1704	37.6126	238	4	Bairam-ali
74.4963	42.6493	1579	5	Baityk
63.5981	39.0884	193	6	Chardzhou
70	41.6	974	7	Charvak
67.8418	40.1066	385	8	Dzhizak
71.751	40.3803	578	9	Fergana
66.2996	39.8906	515	10	Kattakurgan
69.7301	40.2123	425	11	Leninabad
71.5879	40.9909	474	12	Namangan
75.9782	41.4272	2039	13	Naryn
72.8	40.53	1016	14	Osh
80.0029	44.176	643	15	Panfilov
78.378	42.4997	1716	16	Przhevalsk
76.1846	42.4552	1622	17	Rybache
66.9564	39.6495	726	18	Samarkand
61.2143	36.5434	279	19	Serahs
69.2953	41.3279	477	20	Tashkent
67.3289	37.2723	309	21	Termez
