Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198801,Water - Precipitation - unspecified (not reported),1988-01-15,1988-01-01,1988-01-31,,,,,,,,,,,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198802,Water - Precipitation - snow,1988-02-15,1988-02-01,1988-02-29,,-25.01,International Atomic Energy Agency,-202.1,International Atomic Energy Agency,25.9,1.1,International Atomic Energy Agency,4,-3.2,3.2
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198803,"Water - Precipitation - rain & snow (""mixed"")",1988-03-15,1988-03-01,1988-03-31,,-15.5,International Atomic Energy Agency,-127,International Atomic Energy Agency,52.4,2,International Atomic Energy Agency,15,1.3,4.2
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198804,"Water - Precipitation - rain & snow (""mixed"")",1988-04-15,1988-04-01,1988-04-30,,-9.4,International Atomic Energy Agency,-79.1,International Atomic Energy Agency,42.8,1.6,International Atomic Energy Agency,22,10.7,10.2
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198805,Water - Precipitation - rain,1988-05-15,1988-05-01,1988-05-31,,-5.08,International Atomic Energy Agency,-31.3,International Atomic Energy Agency,43.3,1.7,International Atomic Energy Agency,56,14.6,14.1
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198806,Water - Precipitation - rain,1988-06-15,1988-06-01,1988-06-30,,-3.23,International Atomic Energy Agency,-12.4,International Atomic Energy Agency,52.6,2,International Atomic Energy Agency,119,17.5,19.6
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198807,Water - Precipitation - rain,1988-07-15,1988-07-01,1988-07-31,,0.19,International Atomic Energy Agency,15.2,International Atomic Energy Agency,57.6,2.2,International Atomic Energy Agency,26,21.6,24.2
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198808,Water - Precipitation - rain,1988-08-15,1988-08-01,1988-08-31,,0.78,International Atomic Energy Agency,23.8,International Atomic Energy Agency,61.3,2.3,International Atomic Energy Agency,25,18.8,22.8
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198809,Water - Precipitation - rain,1988-09-15,1988-09-01,1988-09-30,,-4.7,International Atomic Energy Agency,-24.3,International Atomic Energy Agency,48.8,1.8,International Atomic Energy Agency,26,15.5,17.4
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198810,Water - Precipitation - unspecified (not reported),1988-10-15,1988-10-01,1988-10-31,,,,,,,,,,7.4,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198811,Water - Precipitation - unspecified (not reported),1988-11-15,1988-11-01,1988-11-30,,,,,,,,,,,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198812,Water - Precipitation - snow,1988-12-15,1988-12-01,1988-12-31,,-20.26,International Atomic Energy Agency,-172.1,International Atomic Energy Agency,29.1,1.2,International Atomic Energy Agency,1,-3.5,2.9
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198901,Water - Precipitation - snow,1989-01-15,1989-01-01,1989-01-31,,-15.77,International Atomic Energy Agency,-116.2,International Atomic Energy Agency,47.2,1.8,International Atomic Energy Agency,2,-8.5,2.5
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198902,Water - Precipitation - snow,1989-02-15,1989-02-01,1989-02-28,,-10.76,International Atomic Energy Agency,-83.2,International Atomic Energy Agency,53.5,2,International Atomic Energy Agency,4,-5.6,2.7
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198903,Water - Precipitation - snow,1989-03-15,1989-03-01,1989-03-31,,-9.81,International Atomic Energy Agency,-86,International Atomic Energy Agency,49.2,1.9,International Atomic Energy Agency,5,2.5,6
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198904,"Water - Precipitation - rain & snow (""mixed"")",1989-04-15,1989-04-01,1989-04-30,,-11.54,International Atomic Energy Agency,-78.8,International Atomic Energy Agency,53.2,1.4,International Atomic Energy Agency,66,7.9,8.7
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198905,Water - Precipitation - rain,1989-05-15,1989-05-01,1989-05-31,,-4.48,International Atomic Energy Agency,-31.5,International Atomic Energy Agency,47.8,1.3,International Atomic Energy Agency,40,14.2,13.5
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198906,Water - Precipitation - rain,1989-06-15,1989-06-01,1989-06-30,,-3.67,International Atomic Energy Agency,-12.7,International Atomic Energy Agency,50.6,1.4,International Atomic Energy Agency,75,15.5,13.9
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198907,Water - Precipitation - rain,1989-07-15,1989-07-01,1989-07-31,,-3.58,International Atomic Energy Agency,-12.8,International Atomic Energy Agency,59.9,1.6,International Atomic Energy Agency,91,18,17.5
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198908,Water - Precipitation - rain,1989-08-15,1989-08-01,1989-08-31,,-5.12,International Atomic Energy Agency,-29.8,International Atomic Energy Agency,50.4,1.4,International Atomic Energy Agency,54,17.9,15.5
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198909,Water - Precipitation - unspecified (not reported),1989-09-15,1989-09-01,1989-09-30,,,,,,,,,,15.1,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198910,"Water - Precipitation - rain & snow (""mixed"")",1989-10-15,1989-10-01,1989-10-31,,-8.14,International Atomic Energy Agency,-47.5,International Atomic Energy Agency,33.4,1,International Atomic Energy Agency,2,10,11.2
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198911,Water - Precipitation - unspecified (not reported),1989-11-15,1989-11-01,1989-11-30,,,,,,,,,,,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],198912,Water - Precipitation - unspecified (not reported),1989-12-15,1989-12-01,1989-12-31,,,,,,,,,,,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199001,Water - Precipitation - snow,1990-01-15,1990-01-01,1990-01-31,,-16.95,International Atomic Energy Agency,-121.8,International Atomic Energy Agency,34.4,1.2,International Atomic Energy Agency,8,-5.4,3.5
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199002,Water - Precipitation - snow,1990-02-15,1990-02-01,1990-02-28,,-14.91,International Atomic Energy Agency,-130.2,International Atomic Energy Agency,31.3,1.1,International Atomic Energy Agency,4,-4.1,4.1
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199003,Water - Precipitation - snow,1990-03-15,1990-03-01,1990-03-31,,-14.93,International Atomic Energy Agency,-113.4,International Atomic Energy Agency,34.6,1.1,International Atomic Energy Agency,17,3.7,5.8
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199004,"Water - Precipitation - rain & snow (""mixed"")",1990-04-15,1990-04-01,1990-04-30,,-8.12,International Atomic Energy Agency,-49.1,International Atomic Energy Agency,80.3,2.1,International Atomic Energy Agency,5,9.7,7.4
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199005,Water - Precipitation - rain,1990-05-15,1990-05-01,1990-05-31,,2.86,International Atomic Energy Agency,33.6,International Atomic Energy Agency,43.5,1.2,International Atomic Energy Agency,7,16.9,11.2
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199006,Water - Precipitation - rain,1990-06-15,1990-06-01,1990-06-30,,2.23,International Atomic Energy Agency,10.2,International Atomic Energy Agency,51.8,1.4,International Atomic Energy Agency,4,21,11.6
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199007,Water - Precipitation - rain,1990-07-15,1990-07-01,1990-07-31,,-1.26,International Atomic Energy Agency,8.5,International Atomic Energy Agency,40.6,1.2,International Atomic Energy Agency,30,19.8,12.7
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199008,Water - Precipitation - rain,1990-08-15,1990-08-01,1990-08-31,,1,International Atomic Energy Agency,9.2,International Atomic Energy Agency,50.8,1.4,International Atomic Energy Agency,1,21.6,14.3
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199009,Water - Precipitation - rain,1990-09-15,1990-09-01,1990-09-30,,2.22,International Atomic Energy Agency,27.4,International Atomic Energy Agency,44.1,1.2,International Atomic Energy Agency,2,17.7,12.6
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199010,Water - Precipitation - unspecified (not reported),1990-10-15,1990-10-01,1990-10-31,,,,,,,,,,,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199011,Water - Precipitation - unspecified (not reported),1990-11-15,1990-11-01,1990-11-30,,,,,,,,,,,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199012,Water - Precipitation - snow,1990-12-15,1990-12-01,1990-12-31,,-21.71,International Atomic Energy Agency,-167.4,International Atomic Energy Agency,29.8,1,International Atomic Energy Agency,2,-5.5,3.4
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199101,Water - Precipitation - snow,1991-01-15,1991-01-01,1991-01-31,,-20.33,International Atomic Energy Agency,-170.8,International Atomic Energy Agency,34.1,1.1,International Atomic Energy Agency,2,-6.2,2
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199102,Water - Precipitation - snow,1991-02-15,1991-02-01,1991-02-28,,-21.15,International Atomic Energy Agency,-163.1,International Atomic Energy Agency,31.1,1,International Atomic Energy Agency,7,-5.9,3.3
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199103,Water - Precipitation - snow,1991-03-15,1991-03-01,1991-03-31,,-23.55,International Atomic Energy Agency,-183.9,International Atomic Energy Agency,34.5,1.1,International Atomic Energy Agency,17,4.5,6.1
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199104,"Water - Precipitation - rain & snow (""mixed"")",1991-04-15,1991-04-01,1991-04-30,,-19.58,International Atomic Energy Agency,-147.2,International Atomic Energy Agency,32.4,1.1,International Atomic Energy Agency,10,9.7,8.1
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199105,Water - Precipitation - rain,1991-05-15,1991-05-01,1991-05-31,,-8,International Atomic Energy Agency,-62.4,International Atomic Energy Agency,37.3,1.2,International Atomic Energy Agency,45,14.8,8
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199106,Water - Precipitation - rain,1991-06-15,1991-06-01,1991-06-30,,-2.99,International Atomic Energy Agency,-12.9,International Atomic Energy Agency,44.2,1.3,International Atomic Energy Agency,63,17.9,13.2
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199107,Water - Precipitation - rain,1991-07-15,1991-07-01,1991-07-31,,3.78,International Atomic Energy Agency,42.3,International Atomic Energy Agency,,,,24,18.8,15
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199108,Water - Precipitation - rain,1991-08-15,1991-08-01,1991-08-31,,3.26,International Atomic Energy Agency,45.5,International Atomic Energy Agency,48.9,1.5,International Atomic Energy Agency,45,18,14.7
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199109,Water - Precipitation - unspecified (not reported),1991-09-15,1991-09-01,1991-09-30,,,,,,,,,,17.4,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199110,Water - Precipitation - snow,1991-10-15,1991-10-01,1991-10-31,,-6.85,International Atomic Energy Agency,-39.7,International Atomic Energy Agency,36.6,1.2,International Atomic Energy Agency,2,7.5,8
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199111,Water - Precipitation - unspecified (not reported),1991-11-15,1991-11-01,1991-11-30,,,,,,,,,,,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199112,Water - Precipitation - snow,1991-12-15,1991-12-01,1991-12-31,,-19.25,International Atomic Energy Agency,-147.4,International Atomic Energy Agency,40.8,1.3,International Atomic Energy Agency,6,-4.8,3.3
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199201,Water - Precipitation - snow,1992-01-15,1992-01-01,1992-01-31,,-19.19,International Atomic Energy Agency,-141.1,International Atomic Energy Agency,24.7,0.8,International Atomic Energy Agency,1,-4.2,2.7
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199202,Water - Precipitation - unspecified (not reported),1992-02-15,1992-02-01,1992-02-29,,-29.81,International Atomic Energy Agency,-236,International Atomic Energy Agency,28,0.9,International Atomic Energy Agency,,,
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199203,Water - Precipitation - rain,1992-03-15,1992-03-01,1992-03-31,,-15.55,International Atomic Energy Agency,-113.8,International Atomic Energy Agency,33,1,International Atomic Energy Agency,12,7.4,4.7
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199204,Water - Precipitation - rain,1992-04-15,1992-04-01,1992-04-30,,,,,,,,,1,18.1,5.8
GNIP,GNIP/M/XX/01,HETIAN,CN,5182800,37.13333333,79.93333333,1375,Precipitation collectors - unknown,[Partners: n/a],199205,Water - Precipitation - rain,1992-05-15,1992-05-01,1992-05-31,,-6.68,International Atomic Energy Agency,-55.3,International Atomic Energy Agency,36.1,1.1,International Atomic Energy Agency,19,19.2,8.2
