"year" "time" "sex"
"28" 1908 95 "F"
"29" 1910 86.6 "F"
"30" 1911 84.6 "F"
"31" 1912 78.8 "F"
"32" 1915 76.2 "F"
"33" 1920 73.6 "F"
"34" 1923 72.8 "F"
"35" 1924 72.2 "F"
"36" 1926 70 "F"
"37" 1929 69.4 "F"
"38" 1930 68 "F"
"39" 1931 66.6 "F"
"40" 1933 66 "F"
"41" 1934 65.4 "F"
"42" 1936 64.6 "F"
"43" 1956 62 "F"
"44" 1958 61.2 "F"
"45" 1960 60.2 "F"
"46" 1962 59.5 "F"
"47" 1964 58.9 "F"
"48" 1972 58.5 "F"
"49" 1973 57.54 "F"
"50" 1974 56.96 "F"
"51" 1976 55.65 "F"
"52" 1978 55.41 "F"
"53" 1980 54.79 "F"
"54" 1986 54.73 "F"
