Nr_sample,Province,District,Village,"Sample
Date",Latitude,Longitude,pH,"TDS
(mg/L)","Na
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)",NH4-N_ppm,NO2-N,NO3-N_ppm,"PO4
(mg/L)","Fe
(mg/L)",Cu_ppb,Cr_ppb,Mn_ppb,As_ppb,"F
(mg/L)"
1,Badakhshan,Baharak,Kher Abad,25-11-13,37.01501,70.88,8,185,52,31,8,31.2,8,17,155,0.02,0.002,0.48,0.18,0.01,520,20,0,0,0.71
2,Badakhshan,Fayzabad,Gozar -e- Mhkama,07-12-13,37.11857,70.58168,7.8,162,85,2.5,8,31.6,89,25,115,0.05,0.003,1.4,0.25,0.03,140,20,0,0,0.38
3,Badakhshan,Kishim,Naiba e Bala,19-11-13,36.79582,70.09932,8.3,243,25,1.8,8,62,7.2,38,150,0.02,0.001,3.44,0.07,0.03,40,0,0,0,0.52
4,Badakhshan,Darayim,Shahr e Sadat,01-12-13,36.96819,70.29921,7.7,504,133,3.2,8,63.2,10.5,90,360,0.01,0.009,2.72,0.75,0,240,20,2,0,0.08
5,Badakhshan,Arghanj Khaw,Meyan Dok,09-12-13,37.05827,70.69677,8.4,193,75,4.6,10,11.2,6.9,24,175,0.03,0.002,5.92,0.14,0.45,60,30,0,0,0.55
6,Badakhshan,Tashkan,Ghelawak,22-11-13,36.97665,70.10246,7.7,433,102,3.3,10,18.4,8,32,250,0.01,0.001,3.57,0.12,0.01,160,10,0,0,0.53
7,Badakhshan,Jurm,Bazar ,12-12-13,36.8649,70.83418,8.2,165,31,3.6,10,32.8,9.4,18,120,0,0,2.08,0.01,0.55,60,20,0,0,0.47
8,Badakhshan,Kishim,Saraya Gharbi,19-11-13,36.78868,70.10329,8.3,284,51,2.4,10,36.8,9.6,33,140,0.03,0.001,3.26,0.1,0.04,40,0,1,0,0.71
9,Badakhshan,Kishim,Namazga,16-11-13,36.76712,70.14335,8.2,271,100,2.8,10,40,13.5,14,350,0,0.002,0.46,0.18,0,380,30,0,0,0.56
10,Badakhshan,Fayzabad,Choshma -e- Shefa,07-12-13,37.1145,70.55827,8.1,281,78,2.2,10,42.4,51,45,110,0.04,0.006,1.6,0.64,0,240,40,0,0,0.6
11,Badakhshan,Kishim,Sar-e-Jar,02-12-13,36.80913,70.10455,7.7,318,97,3.5,10,77.6,7.9,16,440,0.03,0.004,1.2,0.35,0.75,160,0,0,0,0.68
12,Badakhshan,Baharak,Rubabi,25-11-13,37.0108,70.88659,8,311,71,12,11,40,7.2,30,270,0.01,0.002,0.55,0.14,0.05,40,10,0,53,0.67
13,Badakhshan,Arghanj Khaw,Olar,10-12-13,37.07104,70.76354,8.3,230,36,6,11,42.8,12.5,34,170,0.02,0.001,5.34,0.09,0.45,100,20,0,0,0.71
14,Badakhshan,Kishim,Baloch e Gharbi,17-11-13,36.87234,70.0717,7.5,522,55,9,11,65.2,6.4,87,205,0.05,0.002,2.92,0.14,0,80,10,3,0,0.7
15,Badakhshan,Baharak,Faiq Abad,25-11-13,37.04885,70.79044,8.2,241,55,1.6,12,38.8,8.8,23,230,0.02,0.003,0.48,0.22,0.01,240,10,0,0,0.48
16,Badakhshan,Argo,Jada,07-12-13,37.14553,70.51646,7.9,271,100,60.7,12,50.4,44,70,350,0.03,0.001,18.75,0.09,0.5,100,20,0,0,0.67
17,Badakhshan,Kishim,Sara e Gharbi,02-12-13,36.79256,70.10158,8.3,449,90,2.8,12,67.2,7.2,100,310,0,0.001,3.5,0.13,0,520,10,2,0,0.75
18,Badakhshan,Baharak,Dobandi,26-11-13,36.97377,70.87657,8.1,517,137,6.3,13,40,7.2,145,270,0.03,0.005,0.73,0.55,0,240,10,0,0,1.24
19,Badakhshan,Baharak,Qul Dasht,25-11-13,37.01593,70.86739,7.8,318,71,3.4,13,56,14,52,290,0.01,0,0.47,0.05,0.01,200,10,0,14,0.76
20,Badakhshan,Kishim,Center Kishem,02-12-13,36.81395,70.10509,7.5,358,59,3.1,13,82.4,7.2,18,400,0.04,0.001,0.23,0.1,0.01,100,10,6,0,1.17
21,Badakhshan,Kishim,Gombaz e Gharbi,16-11-13,36.90873,70.06612,7.9,444,63,12,13,100,11,52,400,0.01,0.002,0.39,0.15,0,220,20,1,0,0.61
22,Badakhshan,Arghanj Khaw,Khanaqa,08-12-13,37.05648,70.65088,8.2,296,119,15,14,41.6,135,71,95,0.01,0.002,2.72,0.15,0.1,280,10,0,0,0.67
23,Badakhshan,Fayzabad,Choshma -e- Shir,07-12-13,37.1157,70.55876,8.2,294,60,2.7,14,44.8,18,63,115,0.04,0.003,3.95,0.26,0.05,200,40,0,0,0.75
24,Badakhshan,Khash,Tajekan,10-12-13,36.986,70.70932,8.2,191,22,3,15,34.4,11.5,22,180,0.03,0.002,3.6,0.2,0.5,100,40,0,0,0.28
25,Badakhshan,Arghanj Khaw,Saleh Abad,08-12-13,37.05611,70.67962,8.1,385,140,22,16,40.4,99,106,140,0.03,0.004,4.11,0.41,0.01,220,20,0,0,1.03
26,Badakhshan,Fayzabad,Takya Bak,07-12-13,37.10458,70.58714,7.8,358,49,5.5,16,54.8,20.5,36,275,0.04,0.018,4,0.9,0.5,40,20,1,0,0.54
27,Badakhshan,Darayim,Qurlaq,01-12-13,36.95144,70.3166,7.6,749,190,5.4,16,89.2,7.5,195,465,0.11,0.003,6.37,0.24,0,100,10,5,0,0.09
28,Badakhshan,Argo,Aziz Abad,27-11-13,37.05614,70.44359,7.6,603,179,3.7,17,24.4,8.5,170,330,0.04,0.002,1,0.18,0.02,260,10,1,0,1.4
29,Badakhshan,Argo,Dehqan Khana,30-11-13,37.04099,70.43033,7.6,434,103,4.4,17,57.2,13,60,360,0.01,0.001,3.12,0.12,0.05,300,0,4,0,0.45
30,Badakhshan,Tagab,Wawooch,19-11-13,36.61221,70.24459,8.5,419,76,3.2,17,60,6.5,134,200,0.02,0.001,1.92,0.12,0.05,40,10,2,0,0.7
31,Badakhshan,Kishim,Sari Pul,02-12-13,36.81981,70.09686,7.9,365,115,3.7,17,74.8,7.8,36,500,0.05,0.001,2.34,0.1,0.65,120,10,1,0,0.72
32,Badakhshan,Baharak,Pastirah,25-11-13,37.006,70.94135,8.2,252,49,3.7,18,46,7.2,55,140,0.01,0.001,0.26,0.09,0.03,390,10,0,0,0.95
33,Badakhshan,Khash,Darkhana Bala,09-12-13,37.02115,70.75594,8.2,268,59,4,19,29.6,35,32,120,0.01,0.002,17.39,0.2,0.15,100,40,0,0,0.63
34,Badakhshan,Kishim,Shakhdan,17-11-13,36.86404,70.07261,7.7,727,189,4.6,19,36.8,11.5,180,400,0.26,0.001,0.66,0.12,0,140,30,2,0,1.04
35,Badakhshan,Argo,Saray Dara,27-11-13,37.06605,70.25729,8.6,815,265,5.2,19,53.6,7.9,190,620,0.02,0.004,0.69,0.28,0.6,260,10,2,0,1.38
36,Badakhshan,Kishim,Sia Qishlaq,02-12-13,36.82088,70.10258,7.7,347,70,4.3,19,78.8,7.9,18,445,0.01,0.308,0.43,4.1,0.01,240,10,4,0,1.13
37,Badakhshan,Fayzabad,Shahr-e-Now,12-12-13,37.09791,70.5525,7.9,355,35,5.3,19,80.8,17.5,34,275,0.08,0.004,11.02,0.31,0.55,100,20,1,0,0.39
