Nr_samples,date,year,month,Q,T_C          ,pH                       ,Cl_ppm,SO4_ppm,HCO3_ppm,Ca_ppm,Mg_ppm,TDS_ppm,BOD_ppm,NH4-N_ppm,NO2-N_ppb,NO3-N_ppm,PO4-P,Fe_total_ppm,Cu_ppb,Zn_ppm,Ni_ppb,Cr_ppb,Pb_ppb,Cd_ppb,As_ppb,TPH_ppm,F_ppm
1,21-04-04,2004,4,93.9,9.3,7.62,0.9,3.4,101,28.1,3.6,141,,0.06,0.001,0.18,0.002,0,4.8,4.5,0,0.4,0,0,0,0.04,0.06
2,12-05-04,2004,5,162,8.7,7.57,1.4,8.7,127,32.1,4.8,178,0.32,0.04,0.01,0.31,0,0,1.6,6.9,0,1.6,0,0,0,0.04,0.43
3,08-06-04,2004,6,201,9.8,7.57,1.4,5.4,128,38.1,3.6,179,0.32,0,0.001,0.2,0.001,0,1.5,3.2,0,0.6,0.4,0,0,0.01,0.1
4,03-08-04,2004,8,110,10.4,7.57,1.4,2.8,128,28.1,10.9,174,0.33,0.05,0.001,0.39,0,0,6.2,4.2,0,1.8,0,0,0,0.01,0.17
5,11-10-04,2004,10,41.8,14,7.66,1.1,10.6,165,40.1,10.9,236,1.5,0.02,0.001,1.37,0,0,1.9,4,0,1,0,0,0,0.01,0.11
6,08-04-05,2005,4,88.7,5.7,7.62,1.7,16.3,106,24,8.5,162,0.4,0.01,0.005,0.35,0,0.02,1,4.7,0,4.5,0,0,0,0.03,0.23
7,12-05-05,2005,5,153,7.6,7.62,1.4,10.6,111,34.1,3.6,165,0.32,0.02,0.004,0.23,0.002,0.02,2.8,2.3,0,0,0,0,0,0.01,0.1
8,09-06-05,2005,6,268,8.3,7.57,2,7,92.7,32.1,1.2,146,0.4,0,0.015,1.6,0.003,0,2.8,4.7,0,3.2,0,0,0,0.01,0.04
9,19-08-05,2005,8,95,10.8,7.57,1.4,11.3,98.5,32.1,2.4,152,0.32,0,0.001,1.04,0,0.01,0.7,3.2,0,1.1,0,0,0,0,0.13
10,05-10-05,2005,10,30.5,9.1,7.57,1.1,17.1,155,44.1,5.6,231,0.4,0.02,0.001,0.74,0.001,0,1,1.6,0,1.9,0,0,0,0.01,0.27
11,05-04-06,2006,4,68.9,7.1,7.62,6,16.4,143,40.1,7.3,219,0.41,0,0,0.09,0.002,0.01,0.6,1.2,0,0.8,0,0,0,0.01,0.04
12,01-05-06,2006,5,152,8.4,7.62,1.4,11.2,122,34.1,6.1,180,0.41,0,0.002,0.31,0,0,3.6,3.4,0,1.6,0,0.49,0,0.01,0.2
13,12-06-06,2006,6,161,10.2,7.57,1.4,4.5,132,32.1,4.8,183,0.49,0.03,0,0.05,0,0,0,1.3,0,1.7,0,0.34,0,0,0.23
14,07-08-06,2006,8,95.4,12.2,7.57,1.4,12,110,26,3.7,165,0.32,0,0.006,0.08,0.012,0.04,0,1.9,0,2.6,0,0,0,0.01,0.22
15,02-10-06,2006,10,39.9,10.3,7.57,2.6,17,119,28.1,8.5,184,0.32,0,0.005,0.37,0.001,0,3.5,8.8,0,1.8,0,0,0,0.01,0.12
16,02-04-07,2007,4,98.7,7.6,7.62,1.7,18.1,140,42.1,7.3,215,0.4,0.02,0.002,0.22,0.009,0.02,2.4,3.9,0,0.6,0,0.13,0,0,0.25
17,01-05-07,2007,5,142,9.3,7.57,1.4,17.6,143,40.1,8.5,214,0.32,0.06,0.006,0.33,0.001,0,2.5,3.4,0,2.5,0,0,0,0,0.17
18,01-06-07,2007,6,188,12.3,7.57,1.7,11.3,113,34.1,6.1,168,0.4,0,0,0.2,0,0,1.3,2.9,0,0.5,0,0.91,0,0,0.11
19,02-08-07,2007,8,89.9,11.3,7.62,1.4,11.3,85.4,22,6.1,131,0.32,0.03,0.007,0.51,0,0,1.2,3.5,0,0.9,0,0.54,0,0,0.16
20,02-10-07,2007,10,32,7.6,7.57,3.1,16.7,105,22,11,170,0.33,0.04,0.004,1.2,0.007,0,1.8,3.1,0,1.1,0.5,0,0,0.02,0.18
