year,month,Q,TDS_ppm,pH,Mg_ppm,Cl_ppm,SO4_ppm,HCO3_ppm,Ca_ppm,BOD_ppm,NH4-N_ppm,NO2-N_ppb,NO3-N_ppm,PO4_ppm,Fe_total_ppm,Cu_ppb,Zn_ppm,Ni_ppb,Cr_ppb,Pb_ppb,Co_ppb,Cd_ppb,Mn_ppb,As_ppb,TPH_ppm,F_ppm
2005,1,0.743225806,,8.4,9.2,3.2,67.2,95,24,0.7,0.03,0,0.53,0.005,0.05,0,7,5.4,2,7.6,0,0.01,7.2,0.9,0.05,0.88
2005,2,0.730357143,,8,7.8,2.8,67.2,82,23.2,1,0.06,0,0.93,0.015,0,1,4,3.4,1.1,11.5,0,0.05,22,0.3,0.06,1.13
2005,3,0.804516129,,8.3,13.1,1.8,85.4,89,18.4,1.3,0.05,0,0.87,0,0,2,15,4.9,1.8,7,0,0.1,9.8,0,0.06,0.88
2005,4,0.996,,8.1,10.7,3.6,19.2,103,22.4,1.1,0.05,0,0.99,0,0.14,3,5,3.3,0.9,1.4,0,0.04,8.4,0,0.06,0.88
2005,5,1.331935484,,7.1,8.8,4.3,38.4,82,28.9,1.1,0.05,0.006,0.77,0.012,0.05,1,3,3.9,0.7,5.8,0,0.01,7.8,0,0.04,1
2005,6,3.617666667,,7.2,5.4,2.1,57.6,110,36.1,1.3,0.05,0.011,0.7,0.009,0.1,2,1,4.1,1.2,6.2,0,0.02,8.7,0,0,0.88
2005,7,4.930322581,,8.2,3.4,1.4,48,134,35.3,0.9,0.05,0,0.74,0.022,0.06,2,6,3.5,0.2,1.4,0,0.07,12.2,0,0.05,0.88
2005,8,4.465483871,,7.7,3.9,3.6,67.2,95,24.8,0.5,0.04,0.12,0.83,0.007,0,2,2,0.5,0.1,0.6,0,0.02,1.7,0,0.02,0.75
2005,9,2.531333333,,7.6,2,4.3,28.8,156,32.1,1.1,0.04,0.007,0.92,0.007,0.02,0,0,0.02,0.01,1.4,0,0.1,1.5,0,0.06,0.88
2005,10,1.633870968,,7.9,7.3,1.8,48,95,16.8,0.9,0.06,0,0.71,0.008,0,0,0,0.3,0.05,0.6,0,0.01,1.5,0,0.06,0.88
2005,11,1.190333333,,7.7,2,2.5,38.4,61,30.5,0.7,0.03,0.007,0.67,0.015,0.1,1,2,0.8,0,0,0,0,1.8,0,0.04,0.88
2005,12,0.900967742,,7.9,2,7.4,38.4,76,28.1,0.5,0.04,0,0.05,0.02,0,2,2,0.2,0.5,0.5,0,0.01,1.5,0,0.01,0.88
2006,1,0.810645161,,6.9,13.6,3.2,38.4,140,32.1,1.3,0.04,0,0.59,0.021,0,26.5,1.9,2.5,2.3,1,0,0.006,4.3,0,0.01,1
2006,2,0.842857143,,8.1,4.9,8.8,48,82,25.7,1.2,0.03,0,0.53,0.023,0.03,19.1,1.5,1.9,1.8,1,0,0.005,3.6,0,0.04,1
2006,3,0.649032258,,7.1,6.3,1.8,67.2,64,25.6,0.5,0.04,0.009,0.8,0.01,0.1,10,16,1.6,1.8,1.1,0,0.003,3.2,0,0.03,0.88
2006,4,0.567,,7.5,3.9,2.8,57.6,101,25.7,1.8,0.18,0,0.62,0.011,0.08,1.1,0.8,2,0.6,7.6,0,0.18,1.2,0.7,0.01,1.51
2006,5,1.109032258,,7.6,1,2.5,38.4,82,27.3,1.1,0.17,0,0.25,0,0,0.9,0.8,2.6,0.5,0.8,0,0.003,4.1,0,0.02,0.75
2006,6,2.073,,7.7,3.9,5,86.5,92,29.7,2.5,0.21,0.007,0.7,0,0.06,1.2,1.1,0.7,0.3,2.4,0,0.012,5.5,0.6,0.03,0.88
2006,7,3.536774194,,7.7,7.8,2.8,57.6,101,24.8,1,0.18,0.007,0.7,0.024,0.04,0.38,2,0.43,1.31,5.3,0,0.04,1.88,1.95,0.02,0.75
2006,8,4.243548387,,7.8,13.1,2.5,48,113,16,1.1,0.22,0.007,0.7,0.012,0.05,1.13,0.56,0.34,0,2.6,0,0,1.23,0,0.01,0.88
2006,9,2.521,,8,9.2,3.6,38.4,137,24,0.7,0.21,0,0.5,0.027,0.05,0.31,2.13,0.68,0,4.16,0,0.014,1.85,1.97,0,0.88
2006,10,1.482903226,,7.6,2,0.7,19.2,82,24,1.3,0.15,0,0.59,0.023,0.06,1.12,1.1,0.6,0,2.4,0,0.03,1.2,0.21,0.01,0.75
2006,11,0.905333333,,7.4,2.9,2.8,28.9,119,24,1.4,0.12,0.007,0.64,0.025,0.06,13.48,0.31,0.8,0,0.5,0,0.03,3.3,0.08,0.01,1
2006,12,0.925806452,,7.9,6.8,1.4,67.2,162,45.7,1.3,0.06,0.011,0.7,0.03,0,2.6,4.43,3.35,0.71,2.08,0,0.006,3.1,1.81,0,0.88
2007,1,0.783548387,,7.2,2.9,1.8,19.2,107,28.1,1.2,0.11,0,0.65,0.018,0,6.06,1.37,5,1.3,1.8,0,0.022,2.1,0,0,0.88
2007,2,0.530357143,,7.2,2.9,1.1,67.2,149,26.5,0.8,0.08,0.019,0.54,0.008,0,1.24,0.89,0.6,0,0.05,0,0.02,2.44,0,0,1
2007,3,0.605806452,,7.9,5.4,1.4,57.6,119,24,0.9,0.17,0,3.21,0.018,0.03,0.44,1.26,1.13,0.56,4.03,0,0,1.34,0,0.02,1
2007,4,0.854,,7.2,2,1.4,28.8,113,32.1,2.7,0.08,0.01,0.06,0.021,0.02,6.01,1.38,5.03,1.3,1.81,0,0,2.03,0,0,1
2007,5,1.175806452,,7.8,3.9,2.1,48,85,25.7,1,0.07,0.007,1.1,0.006,0.19,0,1.49,5.5,0,0,0,0,5.5,2.19,0,1.13
2007,6,2.119333333,,7.3,13.1,1.4,57.6,204,54.5,1,0.1,0,0.4,0.005,0.03,3.44,1.57,4.3,0,0.36,0,0,2.99,1.72,0,0.88
2007,7,3.082903226,,7.3,2.9,2.1,57.6,55,19.2,0.9,0.08,0,0.62,0.007,0.07,10.6,1.39,10.2,8.2,0,0,0.05,3.19,2.21,0,0.88
2007,8,2.812258065,,7.4,19,5.7,106,162,60.1,1,0.06,0.014,0.07,0.005,0.1,9.04,1.17,3.01,3.2,0.01,0,0.03,2.09,1.21,0,0.75
2007,9,2.107,,7.4,19,5,86.5,162,59.3,0.8,0.04,0,0.53,0.005,0.07,9.59,1.77,7.25,0,0,0,0,1.05,0.17,0.03,0.75
2007,10,1.37,,7.3,6.8,1.4,96.1,58,20,0.9,0.06,0.011,0.62,0.008,0,7.81,1.14,4.21,1.24,0,0,0.05,1.52,0,0,1
