year,TDS,pH,Mg,Cl,SO4,HCO3,Ca,BOD,NH4-N,NO2-N,NO3-N,PO4,Fe_total,Cu_ppb,Zn_ppb,Ni_ppb,Cr,Pb,Co_ppb,Cd,Mn,As,TPH,F
2005,,7.83,6.3,3.2,50.3,98.2,26.72,0.92,0.046,0.013,0.726,0.010,0.04,1.33,3.92,2.53,0.71,3.67,0.00,0.04,7.01,0.10,0.04,0.90
2006,,7.60,6.3,3.2,49.6,106.3,27.05,1.25,0.130,0.000,0.610,0.020,0.04,6.49,2.72,1.46,0.78,2.58,0.00,0.03,2.87,0.61,0.02,0.93
2007,,7.49,7.7,2.4,60.1,120.8,34.80,1.07,0.077,0.007,0.760,0.010,0.04,5.72,1.51,3.86,1.36,0.67,0.00,0.02,2.21,0.91,0.01,0.96
2008,,7.66,5.7,3.0,46.4,82.6,25.15,4.03,0.503,0.006,0.429,0.189,0.02,7.82,1.73,1.42,1.34,0.29,0.00,0.04,2.65,0.44,0.01,1.05
2009,,7.78,4.9,3.2,24.8,79.2,7.01,3.20,0.000,1.370,0.000,0.000,0.83,0.01,4.91,0.03,5.08,1.81,5.02,0.00,2.45,,0.01,1.00
2010,,,3.9,3.1,13.6,,22.63,1.92,0.003,0.004,0.423,0.008,0.08,3.24,1.41,1.98,1.52,0.68,0.00,0.01,1.89,0.55,0.01,0.98
2011,70.03,7.45,4.1,1.9,12.8,74.7,22.68,1.51,0.003,0.007,0.896,0.010,0.05,4.43,0.97,1.22,0.43,0.84,0.00,0.08,4.82,0.47,0.00,0.90
2012,81.18,7.76,4.5,4.1,16.0,80.5,26.04,1.28,0.020,0.010,0.820,0.030,0.06,2.60,1.24,2.52,0.35,0.61,0.00,0.03,6.01,0.44,0.00,0.84
2013,91.22,7.61,4.7,6.5,15.2,84.7,29.07,1.87,0.030,0.010,0.760,0.020,0.09,1.95,1.63,2.33,0.63,0.42,0.00,0.01,6.71,0.38,0.00,0.81
2014,95.36,7.65,4.5,4.2,17.7,96.7,28.67,1.71,0.018,0.003,2.425,0.045,0.10,1.95,1.61,1.79,1.41,0.61,0.00,0.01,14.87,0.14,0.00,0.83
