year,month,Q,TDS,pH,Mg,Cl,SO4,HCO3,Ca,BOD,NH4-N,NO2-N,NO3-N,PO4_P,Fe_total,Cu_ppb,Zn,Ni,Cr,Pb,Co_ppb,Cd,Mn,As,TPH,F
2005,1,,,8.44,2.95,5.32,67.2,149,75.4,1.91,0.11,0.076,2.88,0.017,0.09,2,6,2.9,18.8,13.1,0,0.03,8.1,1.1,0.08,0.5
2005,1,,,8.1,4.86,5.32,76.8,229,72.1,1.41,0.21,0.079,3.4,0.005,0,2,4,3.5,13.4,8.4,0,0.06,26.2,0,0.02,0.88
2005,3,,,7.88,20.9,3.55,96.1,311,61.7,1.42,0.02,0.286,4.27,0.008,0.07,4,8,4.8,16.7,7.4,0,0.05,18.3,0,0.03,0.5
2005,5,,,8.27,6.81,3.19,67.2,268,67.3,1.07,0.23,0.098,3.78,0.039,0.12,18,17,4.8,13.6,3.7,0,0.03,25.3,0,0.05,0.38
2005,5,,,7.73,7.78,3.55,48,125,29.7,1.5,0.05,0.099,2.52,0.011,0.68,2,3,5.5,17.6,5.6,0,0.05,19.7,0,0.05,1
2005,6,,,7.65,23.8,6.74,2.11,192,93,1.64,0.05,0.034,2.99,0.012,0.27,2,4,6.2,18.9,6.7,0,0.08,20.3,0,0.02,0.75
2005,7,,,7.99,13.6,4.25,38.4,238,65.7,1.1,0.05,0.011,1.87,0.01,0.08,2,4,5.4,6,2.3,0,0.07,24,0,0.04,0.88
2005,8,,,8.38,24.3,7.8,76.8,189,46.5,1.96,0.11,0.062,1.33,0.005,0.18,3,9,1.1,1.6,0.6,0,0.01,5.1,1.2,0.03,1
2005,9,,,7.52,1.95,1.77,48,153,24.8,1.13,0.04,0.007,0.61,0.005,0.03,0,3,0.02,0,0.6,0,0.02,0.6,0,0.03,0.88
2005,10,,,8.01,21.9,8.51,38.4,159,20.8,1.77,0.04,0,2.56,0.003,0,2,2,0.7,2.1,0.8,0,0.04,2.3,0.2,0.04,0.75
2005,11,,,8,15.1,7.09,48,128,33.7,0.91,0.04,0.036,10.8,0.004,0.14,2,6,1.4,0,0,0,0,1.2,0,0.03,0.75
2005,12,,,8.13,3.89,4.61,86.5,153,54.5,0.63,0.06,0.01,2.21,0.007,0.07,2,3,0.8,2.3,1.2,0,0.04,1.5,0.2,0.04,0.66
2006,1,,,7.49,37,9.93,86.5,149,21.6,1.41,0.05,0.008,2.06,0.011,0,6.3,2.1,2.7,2.6,1.4,0,0.001,5.3,0.06,0.03,0.63
2006,2,,,7.7,13.6,4.61,48,149,40.1,1.32,0.08,0.023,1.96,0.008,0.07,7.4,2.2,3.5,2.1,1.6,0,0.001,5.4,0,0.029,0.75
2006,3,,,8,20.4,2.48,76.8,220,57.7,0.98,0.04,0.015,2.32,0.004,0.16,10,8,2.2,1.5,1.3,0,0.3,5.3,0.4,0.005,1
