year,site,pH                       ,NO3-N_ppm,Ca_ppm,Mg_ppm,Cl_ppm,SO4_ppm,TDS_ppm,,,,
2010,GWP1,7.2,2.0,47.5,25.8,50.4,9.0,267.5,,,,
2010,GWP2,7.5,4.2,100.0,9.7,64.4,15.8,346.0,,,,
2010,GWP3,7.0,2.6,71.0,9.4,25.6,8.8,384.5,,,,
2010,GWP4,7.4,1.5,50.0,7.3,15.5,6.5,188.5,,,,
2011,GWP1,7.4,1.1,54.0,21.9,42.2,5.8,166.5,,,,
2011,GWP2,7.4,4.0,99.5,12.5,49.2,14.5,362.5,,,,
2011,GWP3,7.3,2.6,66.5,26.7,48.7,8.4,250.5,,,,
2011,GWP4,7.3,1.7,52.5,7.3,14.6,6.8,171.5,,,,
2012,GWP1,7.2,1.3,54.0,10.9,41.1,6.8,188.5,,,,
2012,GWP2,7.1,4.2,100.5,8.8,43.3,16.0,362.5,,,,
2012,GWP3,7.2,3.0,69.0,13.4,24.5,9.0,270.5,,,,
2012,GWP4,7.3,1.7,46.0,6.4,13.9,5.0,162.5,,,,
2014,GWP1,7.7,0.9,90.0,6.7,24.0,6.5,120.0,,,,
2014,GWP2,7.3,4.6,98.0,10.9,43.1,16.8,235.0,,,,
2014,GWP3,7.5,2.9,69.0,13.4,23.7,10.6,242.5,,,,
2014,GWP4,7.5,1.2,37.0,10.6,12.8,7.3,132.5,,,,
2015,GWP1,7.3,0.6,26.0,5.5,17.8,9.0,152.5,,,,
2015,GWP2,7.6,2.8,84.0,14.9,31.3,15.5,175.0,,,,
2015,GWP3,7.4,2.3,68.0,9.1,18.0,7.3,182.5,,,,
2015,GWP4,7.4,1.5,51.0,8.3,14.7,6.0,166.0,,,,
2018,GWP1,7.6,1.8,90.0,7.3,91.5,12.0,275.0,,,,
2018,GWP2,7.5,4.2,105.0,15.8,38.0,17.5,315.0,,,,
2018,GWP3,7.6,3.9,76.0,16.1,28.5,9.5,280.0,,,,
2018,GWP4,7.8,1.8,46.0,12.8,18.0,6.8,182.5,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
