year,pH,Mg,Cl,SO4,HCO3,Ca,BOD,NH4-N,NO2-N,NO3-N,PO4,Fe_total,Cu_ppb,Zn_ppb,Ni_ppb,Cr,Pb,Co_ppb,Cd,Mn,As,TPH,F
2005,8.0,8.2,3.1,58.4,124,31.8,0.95,0.057,0.002,0.909,0.016,0.05,1.25,4.67,2.19,0.70,5.71,0.00,0.06,7.93,0.06,0.02,0.82
2006,7.9,8.8,3.1,48.8,115,28.4,1.13,0.118,0.008,0.676,0.016,0.04,7.85,1.78,1.59,0.82,1.72,0.00,0.02,2.54,0.62,0.01,0.88
2007,,6.2,3.5,61.6,118,35.8,1.21,0.094,0.010,0.899,0.015,0.13,4.56,1.36,2.87,2.81,0.47,0.00,0.03,2.86,1.28,0.01,0.97
2008,7.6,5.7,3.5,48.8,108,35.2,2.49,0.097,0.032,0.720,0.080,0.03,9.95,2.01,1.48,1.76,0.16,,0.00,2.16,0.46,0.02,0.98
2009,7.6,6.2,3.4,36.8,97,30.5,1.36,0.010,0.000,0.680,0.010,0.04,4.61,2.03,1.53,,,0.31,,6.26,,0.01,0.87
2010,,6.9,4.5,17.2,33,,1.98,0.004,0.002,0.352,0.012,0.07,1.97,1.73,2.20,0.94,0.39,0.00,0.00,2.85,0.67,0.00,1.00
2011,7.7,6.9,2.6,21.6,125,34.5,1.46,0.002,0.012,0.855,0.011,0.04,5.17,1.32,2.49,0.27,0.62,0.00,0.05,4.68,0.54,0.00,0.94
2012,7.8,5.5,2.7,20.7,106,34.1,1.56,0.013,0.007,0.877,0.898,0.03,1.48,1.26,1.66,0.32,0.32,,0.02,5.67,0.24,0.01,0.93
2013,7.8,5.6,4.9,19.2,113,35.3,1.66,0.026,0.007,0.898,0.031,0.06,1.37,1.24,1.86,0.32,0.33,,0.01,7.16,0.28,0.00,0.83
2014,7.8,7.2,6.8,19.7,117,34.8,1.66,0.014,0.020,4.144,0.068,0.06,1.07,1.07,0.54,0.14,0.13,,0.00,8.57,0.05,0.00,0.90
