BOD_ppm_KA_1,BOD_KA_2,BOD_ppm_UZ_1,BOD_ppm_UZ_2
0.7,1.91,,1.2
1,1.41,0.32,1.8
1.3,1.42,0.32,0.6
1.1,1.07,0.33,1.1
1.1,1.5,1.5,0.2
1.3,1.64,0.4,0.51
0.9,1.1,0.32,1.4
0.5,1.96,0.4,1.7
1.1,1.13,0.32,3.77
0.9,1.77,0.4,2.3
0.7,0.91,0.41,1.2
0.5,0.63,0.41,1.24
1.3,1.41,0.49,4
1.2,1.32,0.32,2.5
0.5,0.98,0.32,3.8
1.8,1.32,0.4,2.3
1.1,1.91,0.32,2.34
2.5,1.25,0.4,1.59
1,1.51,0.32,1.84
1.1,1.13,0.33,1.52
0.7,0.71,0.41,1.64
1.3,1.04,0.32,1.93
1.4,1.74,0.4,1.92
1.3,1.42,0.49,0.96
1.2,1.34,2.73,1.74
0.8,1.45,0.41,1.26
0.9,2.65,0.41,1.18
2.7,2.38,0.41,1.5
1,1.29,0.4,1.43
1,0.77,0.56,2.14
0.9,1.68,0.49,1.75
1,1.85,0.49,2.15
0.8,0.62,0.4,1.9
0.9,1.38,0.41,3.67
1,1.4,0.4,1.16
0.7,1.47,,1.96
0.8,2.83,,2.38
2.5,1.42,,2.15
1.3,0.95,,2.35
1.1,3.03,,3.18
10,3.35,,1.11
0.8,0.95,,1.7
0.8,1.2,,3.45
1,0.94,,2.5
13,1.76,,2.15
14,13,,2.33
1,1.85,,3.2
2.1,2.57,,2.41
0.7,1.51,,3.44
1,2.53,,3.15
2.5,1.26,,2.98
0.5,0.5,,2.44
1.3,1.11,,3.25
2.6,2.2,,1.27
1.1,2.68,,2.54
1.2,1.45,,2.54
0.8,2.28,,1.05
1.8,0.57,,1.89
0.8,1.35,,1.54
2.2,2.79,,1.96
0.6,1.16,,2.15
0.8,2.12,,1.63
0.5,0.99,,3.25
1.2,1.28,,1.93
1.4,2.65,,1.28
1,1.26,,0.8
1.1,0.77,,0.97
2.6,1.81,,2.71
1,1.41,,1.83
1.7,1.24,,2.71
3.3,3,,1.09
2.9,2.83,,1.89
1.7,2.05,,2.15
1,0.7,,1.5
1.5,1.39,,3.87
1.2,2.21,,1.95
1.6,1.84,,
0.7,1.89,,
1.6,0.44,,
0.9,2.77,,
1.6,1.64,,
1.9,2.21,,
0.9,2.4,,
1,2.11,,
1.9,1.84,,
2.2,2.13,,
1.3,1.75,,
1.6,0.8,,
0.8,1.78,,
0.8,2.82,,
3,3,,
2.5,2.04,,
1.6,2.7,,
1.8,2.32,,
2.6,1.36,,
2.4,1.9,,
2.7,1.7,,
1.5,2.88,,
1.3,1.75,,
2.9,1.3,,
2.9,2.7,,
1.9,1.3,,
0.8,2.11,,
2.4,1,,
0.7,1,,
1,0.94,,
0.4,1.55,,
2,0.5,,
