NO3-N_ppm_KA1,NO3-N_KA2,NO3-N_UZ_1,NO3-N_UZ_2,NO3-N_ppm,NO3-N_TJ
0.53,2.88,0.18,0.45,0.48,2
0.93,3.4,0.31,1.73,1.4,4.2
0.87,4.27,0.2,1.23,3.44,2.6
0.99,3.78,0.39,0.56,2.72,1.5
0.77,2.52,1.37,0.94,5.92,1.1
0.7,2.99,0.35,0.59,3.57,4
0.74,1.87,0.23,0.22,2.08,2.6
0.83,1.33,1.6,0.18,3.26,1.7
0.92,0.61,1.04,0.04,0.46,1.3
0.71,2.56,0.74,1.96,1.6,4.2
0.67,10.8,0.09,5.1,1.2,3
0.05,2.21,0.31,2.49,0.55,1.7
0.59,2.06,0.05,1.43,5.34,0.9
0.53,1.96,0.08,1.8,2.92,4.6
0.8,2.32,0.37,1.04,0.48,2.9
0.62,0.66,0.22,1.48,18.75,1.2
0.25,0.1,0.33,10.01,3.5,0.6
0.7,1.2,0.2,5.62,0.73,2.8
0.7,0.61,0.51,3.62,0.47,2.3
0.7,0.43,1.2,2.63,0.23,1.5
0.5,0.53,1.03,2.44,0.39,1.8
0.59,0.47,0.29,1.87,2.72,4.2
0.64,1.8,0.46,5.87,3.95,3.9
0.7,2.11,2.9,3.48,3.6,1.8
0.65,2.89,0.49,2.56,4.11,
0.54,2.93,0.13,1.88,4,
3.21,2.57,0.28,0.98,6.37,
0.06,3.49,0.09,0.41,1,
1.1,1.32,0.68,0.06,3.12,
0.4,1.27,0.22,0.1,1.92,
0.62,1.92,0.12,1.13,2.34,
0.07,0.87,0.33,0.68,0.26,
0.53,0.78,0.53,1.45,17.39,
0.62,2.12,0.12,2.1,0.66,
0.68,1.29,0.2,3.06,0.69,
0.64,1.35,,2.16,0.43,
0.3,0.9,,2.93,11.02,
0.02,0.11,,0.14,20.19,
0.65,2.08,,0.67,2.79,
0.2,1.5,,0.75,3.52,
0,2.74,,2.38,1.9,
0.75,2.54,,1.92,2.61,
0.97,2.74,,2.09,0.27,
0.77,2.54,,3.68,3.04,
0.02,1.35,,2.45,0.46,
0,0.112,,2.08,5.92,
0.76,2.09,,0.41,0.25,
0.71,1.06,,0.44,0.18,
0.8,0.85,,1.23,11.16,
0.77,1.67,,1.45,3.3,
0.71,0.74,,0.1,6.09,
0.77,2.77,,0.5,6.23,
0.96,1.42,,0.96,0.78,
0.77,1.95,,1.17,2.38,
0.8,2.47,,1.91,0.99,
0.71,1.79,,2.05,0.27,
2.15,0.56,,1.62,0.24,
0.62,1.78,,1.01,7.71,
0.59,1.01,,0.68,1.05,
0.31,0.76,,0.15,10.07,
0.74,2.32,,0.32,8.37,
2.32,3.08,,1.08,11.43,
1.1,3.4,,0.96,6.37,
0.8,3.7,,0.94,3.54,
1,3,,0.12,1.54,
0.38,4.76,,0.34,6.04,
0.5,1.7,,0.84,14.14,
0.4,1.7,,2.16,15.25,
0.66,4.11,,1.09,4.14,
0.98,2.6,,0.34,3.92,
0.91,5.5,,0.81,7.22,
0.96,5.71,,0.2,1.66,
1.05,2.47,,0.48,0.24,
0.93,2.22,,1.49,3.24,
1.08,2.6,,1.24,0.6,
1.01,2.17,,0.64,3.34,
1.04,1.91,,,0.86,
0.9,2.3,,,0.9,
0.55,2.75,,,3.93,
0.65,2.63,,,0.84,
0.71,2.28,,,0.2,
0.73,1.73,,,3.52,
0.52,1.75,,,8.57,
0.65,2.39,,,1.64,
0.6,2.59,,,52.32,
0.65,1.85,,,4.48,
0.92,1.98,,,10.75,
0.92,2,,,18.34,
0.89,1.82,,,15,
0.72,1.81,,,,
0.39,1.71,,,,
0.64,2.37,,,,
0.64,2.23,,,,
0.52,1.73,,,,
0.5,1.86,,,,
1.73,3.13,,,,
0.69,2.07,,,,
1.16,4.54,,,,
0.92,1.98,,,,
3.64,26.6,,,,
8.46,23.4,,,,
2.02,73.2,,,,
0.74,2.49,,,,
0.62,4.11,,,,
0.62,3.83,,,,
0.63,5.01,,,,
4.6,3.23,,,,
5,3.36,,,,
