PO4_ppm_KA1,PO4_KA_2,PO4_ppm_UZ1,PO4_ppm_UZ2,PO4_AF
0.005,0.052,0.007,0.547,0.18
0.015,0.014,0,0.052,0.25
0,0.024,0.003,0,0.07
0,0.119,0,0.001,0.75
0.012,0.033,0,0.002,0.14
0.009,0.036,0.001,0.003,0.12
0.022,0.032,0.006,0.002,0.01
0.007,0.016,0.008,0.002,0.1
0.007,0.014,0.001,0.036,0.18
0.008,0.01,0.002,0.033,0.64
0.015,0.013,0.007,0.029,0.35
0.02,0.021,0,0.025,0.14
0.021,0.034,0,0.072,0.09
0.023,0.025,0.036,0.074,0.14
0.01,0.012,0.002,0.009,0.22
0.011,0.014,0.028,0.008,0.09
0,0.009,0.003,0.004,0.13
0,0.007,0,0.005,0.55
0.024,0.02,0,0.013,0.05
0.012,0.014,0.022,0.066,0.1
0.027,0.027,0.038,0.008,0.15
0.023,0.028,0.001,0.14,0.15
0.025,0.03,0.031,0.09,0.26
0.03,0.023,0,0.008,0.2
0.018,0.026,0,0.014,0.41
0.008,0.095,0,0.031,0.9
0.018,0.049,0,0.004,0.24
0.021,0.04,0,0.148,0.18
0.006,0.005,0,0.02,0.12
0.005,0.007,0.096,0.07,0.12
0.007,0.005,0,0.007,0.1
0.005,0,0,0.052,0.09
0.005,0,0,0,0.2
0.008,0.023,0.001,0.509,0.12
0.007,0.021,0.081,0.003,0.28
0.01,0.014,,0.112,4.1
0.018,0.019,,0.092,0.31
0.012,0.014,,0.029,0.06
0.008,0.012,,0.005,0.18
0.018,0.014,,0.011,0.15
0.6,0.016,,0.082,0.12
0.013,0.015,,0.09,0.9
0.009,0.009,,0.165,0.1
0.021,0.015,,0.209,0.1
0.76,0.014,,0.068,0.67
0.77,2.67,,0.211,0.28
0.022,0.025,,0.112,0.05
0.012,0.016,,0.127,0.14
0.017,0.011,,0.108,0.04
0.022,0.012,,0.014,0.1
0.01,0.012,,0.087,0.09
0.022,0.055,,0.163,0.96
0.019,0.041,,0.157,0.11
0.012,0.045,,0.142,0.14
0.008,0.01,,0.164,0.2
0.009,0.033,,0.002,0.55
0.01,0.017,,0.042,0.15
0.004,0.018,,0.046,0.08
0.015,0.117,,0.023,0.67
0.008,0.034,,0.007,0.01
0.007,0.039,,0.02,0.06
0.031,0.038,,0.032,0.17
0.013,0.031,,0.268,0.18
0.005,0.026,,0.003,0.14
0.014,0.038,,0.032,0.9
0.007,0.026,,0.048,0.21
0.008,0.058,,0.051,0.21
0.006,0.008,,0.053,0.07
0.005,0.012,,0.018,0.61
0.008,0.023,,0.027,0.25
0.007,0.018,,0.017,0.01
0.004,0.081,,0.033,0.16
0.005,0.026,,0,0.12
0.007,0.022,,0,0.21
0.01,0.166,,0.126,0.14
0.013,0.148,,0.001,0.95
0.036,0.147,,,0.14
0.021,0.183,,,0.35
0.071,0.136,,,0.28
0.041,0.113,,,0.15
0.045,0.055,,,0.06
0.036,0.126,,,0.18
0.007,0.124,,,0.14
0.027,0.018,,,0.15
0.006,0.119,,,0.89
0.009,0.133,,,0.24
0.005,0.152,,,0.12
0.006,0.122,,,0.72
0.076,0.139,,,0.14
0.066,0.141,,,
0.02,0.165,,,
0.011,0.3,,,
0.021,0.043,,,
0.009,0.065,,,
0.045,0.073,,,
0.014,0.042,,,
0,0.115,,,
0.027,0.12,,,
0.005,0.152,,,
0.04,0.134,,,
0.102,0.157,,,
0.104,0.165,,,
0.104,0.071,,,
0.089,0.183,,,
0.04,0.08,,,
0.009,0.2,,,
0.008,0.09,,,
0.01,0.091,,,
