pH_KA1,pH_KA2,pH_UZ_1      ,pH_UZ_2                       
8.4,8.44,7.62,7.6
8,8.1,7.57,7.6
8.3,7.88,7.57,7.6
8.1,8.27,7.57,7.6
7.1,7.73,7.66,7.6
7.2,7.65,7.62,7.6
8.2,7.99,7.62,7.6
7.7,8.38,7.57,7.6
7.6,7.52,7.57,7.6
7.9,8.01,7.57,7.6
7.7,8,7.62,7.6
7.9,8.13,7.62,7.6
6.9,7.49,7.57,7.6
8.1,7.7,7.57,7.6
7.1,8,7.57,7.6
7.5,8.15,7.62,7.6
7.6,7.85,7.57,7.8
7.7,7.67,7.57,7.9
7.7,7.94,7.62,7.9
7.8,7.9,7.57,7.6
8,7.95,7.57,7.6
7.6,7.4,7.57,7.6
7.4,7.6,7.57,7.7
7.9,7.78,7.62,7.6
7.2,7.57,7.62,7.9
7.2,7.64,7.62,7.7
7.9,7.6,7.62,7.5
7.2,7.31,7.62,7.3
7.8,7.4,7.62,7.5
7.3,7.53,7.62,8.1
7.3,7,7.62,7.6
7.4,7.76,7.62,7.3
7.4,7.86,7.62,6.8
7.3,7.46,7.62,7.5
8,8.15,7.62,7.8
7.9,7.83,,7.6
7.7,7.61,,7.7
8,7.68,,7.1
7.7,7.68,,7.8
7.8,7.59,,7.4
7.6,7.29,,7.8
6.8,7.13,,7.4
7.8,8.14,,7.2
7.7,7.82,,8.2
7.3,8.04,,7.4
7.8,7.87,,7.8
7.7,8.09,,7.5
8,8.05,,6.9
8.1,7.78,,7.6
7.7,7.73,,8.3
7.8,7.69,,8
7.5,7.51,,8.3
7.5,7.6,,8.3
7.5,7.74,,7.9
8.3,7.78,,7.7
7.6,8.24,,7.4
7.9,7.83,,8.1
7.8,7.98,,7.9
7.9,7.98,,7.5
7.8,7.99,,7.2
7.1,7.74,,7.3
6.8,7.24,,7.7
7.5,8.09,,8.3
7.6,8.11,,7.8
7.7,8.13,,7.8
7.8,8.18,,7.2
7.4,8,,7.4
7.2,8.03,,7.6
7.6,7.77,,7.5
7.2,7.89,,7.7
7.9,8.13,,7.7
7.8,7.72,,7.5
7.4,7.93,,7.8
8.1,7.97,,7.3
8.5,8.31,,7.9
8.4,8.2,,7.7
7.4,7.95,,
7.5,8.01,,
7.6,8.08,,
7.7,7.59,,
7.7,7.9,,
6.9,8.07,,
7.7,7.99,,
8.2,8.46,,
7.9,7.9,,
7.7,7.83,,
7.8,7.8,,
7.8,7.78,,
7.8,7.97,,
7.4,7.85,,
7.5,8,,
7.8,7.98,,
7.1,7.19,,
7.6,7.79,,
7.7,8,,
7.3,8.01,,
7.3,8.02,,
7.1,7.95,,
7.8,7.8,,
7.5,8.04,,
7.2,8.13,,
7.9,7.39,,
7.7,8,,
7.4,8.2,,
7.6,7.94,,
8.3,8.24,,
7.9,7.44,,
8.3,8.29,,
