Sample_n,Date,Time,Year,Month,Day,Location,Country,Site,Sample type,GW type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO3-N [mg/L]  ,PO4-P [mg/L]
7,05-07-19,13:29,2019,7,5,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,14,8.1,180,90,0.684,0.017
17,05-08-19,15:00,2019,8,5,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,16,8.1,200,100,0.688,0.011
31,04-09-19,10:26,2019,9,4,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,9,7.9,210,100,0.574,0.006
42,04-10-19,15:12,2019,10,4,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,9,8.1,200,100,0.481,1.86
52,01-11-19,12:20,2019,11,1,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,6,8.1,220,110,0.808,0.016
62,06-12-19,14:30,2019,12,6,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,4,8.1,200,100,0.082,0.33
71,10-01-20,14:30,2020,1,10,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,3,8.1,230,110,0.204,1.72
79,06-02-20,12:25,2020,2,6,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,3,7.9,200,100,0.895,0.024
87,05-03-20,13:10,2020,3,5,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,3,8.1,240,120,0.896,0.025
96,05-06-20,15:45,2020,6,5,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,16,7.9,170,80,0.795,0.098
105,28-07-20,17:40,2020,7,28,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,12,8.1,130,60,0.723,0.018
114,08-09-20,12:25,2020,9,8,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,8,8.1,180,90,0.753,0.799
123,08-10-20,12:30,2020,10,8,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,4,8.1,210,100,0.726,0.035
132,08-11-20,15:00,2020,11,8,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,6,7.9,200,100,0.815,0.12
137,01-12-20,15:00,2020,12,1,"Spring, near Ala-Archa river",KG,KG-2,groundwater,spring,42.630273,74.491362,2,7.9,230,110,0.882,1.23
26,16-08-19,19:16,2019,8,16,Household well,KG,KG-7,groundwater,urban,42.912829,74.563053,13,7.3,680,330,11.2,0.017
40,18-09-19,17:30,2019,9,18,Household well,KG,KG-7,groundwater,urban,42.912829,74.563053,13,7.3,630,310,11.2,0.098
9,26-04-19,18:25,2019,4,26,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.46581,76.97755,12,8.1,290,140,1.74,0.004
17,17-05-19,16:10,2019,5,17,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.46581,76.97755,14,8.3,200,100,0.57,0.018
26,30-05-19,13:12,2019,5,30,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.46581,76.97755,13,8.2,220,110,0.57,0.016
37,11-06-19,15:32,2019,6,11,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.46581,76.97755,13,8.4,200,100,0.58,0.012
48,25-06-19,14:05,2019,6,25,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.46581,76.97755,14,8.4,200,100,0.55,0.022
59,08-07-19,14:20,2019,7,8,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.46581,76.97755,14,8.4,200,100,0.61,0.022
71,23-07-19,13:21,2019,7,23,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.46581,76.97755,14,8.4,200,100,0.69,0.018
82,05-08-19,11:05,2019,8,5,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.46581,76.97755,14,8.3,190,90,0.66,0.015
93,20-08-19,14:40,2019,8,20,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.46581,76.97755,14,8.3,180,90,0.92,0.02
108,03-09-19,14:36,2019,9,3,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.47,76.97755,14,8.3,210,100,0.68,0.025
119,17-09-19,13:08,2019,9,17,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.47,76.97755,14,8.2,180,90,0.97,0.028
127,01-10-19,13:10,2019,10,1,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.47,76.97755,13,8.2,210,100,0.78,0.015
141,15-10-19,14:47,2019,10,15,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.47,76.97755,12,8.1,200,100,0.52,0.022
149,28-10-19,13:38,2019,10,28,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.47,76.97755,13,8.2,210,100,0.594,0.021
163,12-11-19,15:05,2019,11,12,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.47,76.97755,13,8.1,200,100,0.615,0.028
171,25-11-19,14:30,2019,11,25,AgroBioCenter,KZ,KZ-11,groundwater,artesian,43.47,76.97755,13,8.8,200,100,0.565,0.024
