Sample_n,Date,Time,Year,Month,Day,Location,Country,Site,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO3-N [mg/L]  ,PO4-P [mg/L]
1,19-06-19,13:10,2019,6,19,Alplager,KG,KG-1,streamwater,42.565388,74.479548,11,7.2,50,20,0.801,0.003
6,05-07-19,13:15,2019,7,5,Alplager,KG,KG-1,streamwater,42.565388,74.479548,11,7.3,40,20,0.384,0.009
12,16-07-19,11:11,2019,7,16,Alplager,KG,KG-1,streamwater,42.565388,74.479548,10,7.2,30,10,0.629,0.063
16,05-08-19,14:30,2019,8,5,Alplager,KG,KG-1,streamwater,42.565388,74.479548,11,7.3,40,20,0.552,0.013
22,16-08-19,14:35,2019,8,16,Alplager,KG,KG-1,streamwater,42.565388,74.479548,7,7.1,50,20,0.562,0.014
30,04-09-19,10:05,2019,9,4,Alplager,KG,KG-1,streamwater,42.565388,74.479548,6,7.1,50,20,0.432,0.023
36,18-09-19,13:55,2019,9,18,Alplager,KG,KG-1,streamwater,42.565388,74.479548,11,7.7,60,30,0.733,0.003
41,04-10-19,14:35,2019,10,4,Alplager,KG,KG-1,streamwater,42.565388,74.479548,8,7.3,70,30,0.796,0.342
47,17-10-19,11:42,2019,10,17,Alplager,KG,KG-1,streamwater,42.565388,74.479548,5,7.6,70,30,0.552,0.008
51,01-11-19,12:00,2019,11,1,Alplager,KG,KG-1,streamwater,42.565388,74.479548,7,8.3,190,90,0.051,0.003
57,18-11-19,16:00,2019,11,18,Alplager,KG,KG-1,streamwater,42.565388,74.479548,5,8.3,80,40,0.732,0.869
61,06-12-19,14:00,2019,12,6,Alplager,KG,KG-1,streamwater,42.565388,74.479548,7,7.5,60,30,0.142,0.068
67,19-12-19,14:20,2019,12,19,Alplager,KG,KG-1,streamwater,42.565388,74.479548,3,7,80,40,0.886,0.019
78,06-02-20,12:45,2020,2,6,Alplager,KG,KG-1,streamwater,42.565388,74.479548,4,7.5,70,30,1.12,0.023
