Sample_n,Date,Time,Year,Month,Day,Location,Country,Site,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO3-N [mg/L]  ,PO4-P [mg/L]
5,26-04-19,17:11,2019,4,26,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,14,8.2,530,260,1.45,0.026
14,17-05-19,11:40,2019,5,17,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,19,8.4,650,320,3.81,0.005
23,30-05-19,10:30,2019,5,30,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,20,8.3,640,320,3.2,0.011
34,11-06-19,12:17,2019,6,11,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,19,8.3,350,170,1.47,0.005
45,25-06-19,11:05,2019,6,25,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,22,8.5,430,210,2.15,0.004
56,08-07-19,11:05,2019,7,8,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,22,8.4,330,160,1.62,0.013
68,23-07-19,10:35,2019,7,23,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,23,8.5,420,200,2.12,0.007
79,05-08-19,08:25,2019,8,5,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,23,8.3,390,190,2.01,0.016
90,20-08-19,10:56,2019,8,20,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,18,8.2,280,130,1.5,0.005
105,03-09-19,11:45,2019,9,3,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,19,8.3,380,190,2.05,0.003
116,17-09-19,10:48,2019,9,17,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,16,8.2,430,210,2.45,0.007
124,01-10-19,10:42,2019,10,1,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,12,8.1,440,220,2.79,0.004
138,15-10-19,12:10,2019,10,15,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,11,8.1,420,210,2.76,0.018
146,28-10-19,11:20,2019,10,28,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,8,8.2,500,240,2.99,0.015
160,12-11-19,12:39,2019,11,12,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,6,8.3,550,270,4.03,0.01
168,25-11-19,12:10,2019,11,25,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,3,8.5,600,300,4.14,0.016
182,11-12-19,11:57,2019,12,11,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,3,8.3,580,290,3.34,0.012
193,25-12-19,10:33,2019,12,25,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,0,8.3,660,330,4.95,0.016
204,06-01-20,10:33,2020,1,6,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,0,8.3,650,320,4.64,0.014
215,21-01-20,11:11,2020,1,21,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,0,8.3,680,340,5.13,0.014
248,03-03-20,11:35,2020,3,3,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,7,8.4,800,400,5.46,0.008
256,16-03-20,12:15,2020,3,16,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,10,8.1,670,330,4.48,0.003
268,25-05-20,13:20,2020,5,25,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,26,8.1,660,330,3.42,0.01
280,09-06-20,10:00,2020,6,9,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,17,8.1,660,330,3.65,0.014
294,23-06-20,09:42,2020,6,23,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,20,8.1,900,450,4.36,0.019
302,06-07-20,09:50,2020,7,6,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,21,8.2,1280,640,3.12,0.013
318,28-07-20,09:40,2020,7,28,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,21,8.2,1530,760,2.99,0.011
330,21-08-20,11:04,2020,8,21,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,22,8.3,1210,600,2.34,0.011
356,08-09-20,10:50,2020,9,8,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,15,8.1,540,270,2.76,0.007
367,23-09-20,10:50,2020,9,23,KZ-8,KZ,UA105,streamwater,43.56118,76.90803,13,8.2,470,230,2.4,0.004
