Sample_n,Date,Time,Year,Month,Day,Location,Country,Site,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO3-N [mg/L]  ,PO4-P [mg/L]
4,19-06-19,16:48,2019,6,19,Bridge,KG,KG-5,streamwater,42.758631,74.571057,23,8.2,790,390,4.005,0.122
10,05-07-19,18:20,2019,7,5,Bridge,KG,KG-5,streamwater,42.950108,74.592261,25,8,740,370,3.63,0.092
15,16-07-19,14:30,2019,7,16,Bridge,KG,KG-5,streamwater,42.758631,74.571057,27,8.2,720,360,3.38,0.206
20,05-08-19,17:30,2019,8,5,Bridge,KG,KG-5,streamwater,42.950108,74.592261,25,7.8,550,270,0.868,0.107
25,16-08-19,16:04,2019,8,16,Bridge,KG,KG-5,streamwater,42.758631,74.571057,20,8.1,520,250,2.83,0.104
34,04-09-19,12:18,2019,9,4,Bridge,KG,KG-5,streamwater,42.950108,74.592261,18,7.9,700,340,2.67,0.123
39,18-09-19,17:00,2019,9,18,Bridge,KG,KG-5,streamwater,42.758631,74.571057,19,8.1,340,170,1.81,0.029
45,04-10-19,18:00,2019,10,4,Bridge,KG,KG-5,streamwater,42.950108,74.592261,15,8.1,330,160,1.96,0.304
50,17-10-19,15:15,2019,10,17,Bridge,KG,KG-5,streamwater,42.950108,74.592261,14,8.1,320,160,1.61,0.244
55,01-11-19,14:25,2019,11,1,Bridge,KG,KG-5,streamwater,42.950108,74.592261,14,8.2,360,180,0.782,0.334
60,18-11-19,14:10,2019,11,18,Bridge,KG,KG-5,streamwater,42.950108,74.592261,9,7.7,360,180,0.099,0.178
65,06-12-19,12:50,2019,12,6,Bridge,KG,KG-5,streamwater,42.950108,74.592261,10,8,520,260,1.99,1.93
70,19-12-19,16:10,2019,12,19,Bridge,KG,KG-5,streamwater,42.950108,74.592261,5,7.9,400,200,1,0.044
74,10-01-20,10:00,2020,1,10,Bridge,KG,KG-5,streamwater,42.950108,74.592261,5,8.2,600,300,1.65,0.095
77,16-01-20,15:30,2020,1,16,Bridge,KG,KG-5,streamwater,42.950108,74.592261,5,8.1,420,210,0.04,0.001
82,06-02-20,14:25,2020,2,6,Bridge,KG,KG-5,streamwater,42.950108,74.592261,7,8.3,490,240,2.67,0.028
85,18-02-20,16:10,2020,2,18,Bridge,KG,KG-5,streamwater,42.950108,74.592261,5,8.1,540,260,2.82,0.061
90,05-03-20,15:20,2020,3,5,Bridge,KG,KG-5,streamwater,42.950108,74.592261,11,8,590,290,3.36,0.086
94,19-03-20,14:10,2020,3,19,Bridge,KG,KG-5,streamwater,42.950108,74.592261,18,8.1,490,240,2.54,3.01
99,05-06-20,17:15,2020,6,5,Bridge,KG,KG-5,streamwater,42.950108,74.592261,28,8.1,670,330,3.99,0.094
103,17-06-20,17:00,2020,6,17,Bridge,KG,KG-5,streamwater,42.950108,74.592261,24,7.9,610,300,3.17,0.031
108,28-07-20,19:15,2020,7,28,Bridge,KG,KG-5,streamwater,42.950108,74.592261,19,8.1,240,120,1.33,0.018
112,18-08-20,16:20,2020,8,18,Bridge,KG,KG-5,streamwater,42.950108,74.592261,20,7.8,250,120,0.049,0.05
117,08-09-20,14:15,2020,9,8,Bridge,KG,KG-5,streamwater,42.950108,74.592261,20,7.3,450,220,1.89,0.092
121,17-09-20,16:25,2020,9,17,Bridge,KG,KG-5,streamwater,42.950108,74.592261,20,8.2,420,210,2.47,0.337
126,08-10-20,14:15,2020,10,8,Bridge,KG,KG-5,streamwater,42.950108,74.592261,11,8.4,400,200,1.94,0.133
130,19-10-20,15:15,2020,10,19,Bridge,KG,KG-5,streamwater,42.950108,74.592261,15,8,340,170,1.12,0.144
135,08-11-20,16:15,2020,11,8,Bridge,KG,KG-5,streamwater,42.950108,74.592261,10,8,380,190,1.83,0.16
140,01-12-20,16:15,2020,12,1,Bridge,KG,KG-5,streamwater,42.950108,74.592261,4,8.1,400,200,1.96,1.01
29,29-05-19,19:30,2019,5,29,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,19,8.1,680,340,0.95,0
40,12-06-19,11:56,2019,6,12,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,15,8.2,540,260,0.93,0.008
51,27-06-19,12:05,2019,6,27,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,21,8.3,750,370,4.01,0.019
63,09-07-19,10:55,2019,7,9,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,20,8.2,580,280,4.1,0.039
74,23-07-19,15:37,2019,7,23,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,24,8.5,650,320,3.62,0.014
85,05-08-19,14:15,2019,8,5,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,24,8.3,600,300,3.67,0.023
96,19-08-19,14:22,2019,8,19,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,18,8.2,590,290,3.18,0.019
100,02-09-19,17:15,2019,9,2,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,19,8.5,660,320,3.54,0.012
111,16-09-19,14:03,2019,9,16,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,17,8.3,650,320,3.45,0.025
130,01-10-19,15:50,2019,10,1,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,12,8.3,640,320,3.23,0.009
133,14-10-19,11:15,2019,10,14,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,10,8.2,740,360,3.74,0.029
152,29-10-19,12:37,2019,10,29,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,8,8.4,730,360,3.94,0.033
155,11-11-19,13:00,2019,11,11,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,6,8.3,720,350,3.99,0.033
174,26-11-19,14:07,2019,11,26,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,5,8.5,790,390,4.43,0.055
177,09-12-19,10:10,2019,12,9,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,3,8.4,920,450,4.1,0.058
188,24-12-19,13:20,2019,12,24,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,1,8.3,890,440,5.66,0.028
199,05-01-20,13:20,2020,1,5,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,2,8.6,840,420,5.64,0.039
210,20-01-20,12:18,2020,1,20,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,1,8.3,910,450,6.27,0.032
221,03-02-20,13:17,2020,2,3,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,2,8.4,920,450,5.75,0.027
240,18-02-20,11:55,2020,2,18,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,3,8.1,990,490,5.76,0.065
243,02-03-20,10:24,2020,3,2,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,5,8.1,890,440,5.14,0.035
263,17-03-20,11:49,2020,3,17,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,9,8.3,890,440,4.67,0.019
275,26-05-20,13:00,2020,5,26,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,22,8.1,660,320,4.33,1.66
286,10-06-20,11:42,2020,6,10,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,17,8.1,680,330,3.96,0.022
289,22-06-20,11:51,2020,6,22,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,18,8.1,650,320,3.84,0.017
308,07-07-20,10:40,2020,7,7,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,17,8.1,560,280,3.69,0.025
311,27-07-20,11:00,2020,7,27,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,19,8,750,370,3.81,0.034
325,20-08-20,11:17,2020,8,20,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,18,8,590,290,3,0.02
351,08-09-20,13:15,2020,9,8,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,18,8.1,560,280,3.08,0.022
362,22-09-20,13:15,2020,9,22,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,15,8.2,540,270,3.04,0.006
381,09-10-20,12:20,2020,10,9,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,9,8.2,600,300,3.33,0.005
384,22-10-20,12:05,2020,10,22,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,9,8.2,600,290,3.37,0.007
403,05-11-20,12:25,2020,11,5,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,5,8.3,770,380,4.3,0.029
414,20-11-20,13:00,2020,11,20,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,2,8.2,760,370,4.69,0.011
425,04-12-20,11:11,2020,12,4,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,4,8,770,380,5.12,0.008
428,14-12-20,11:00,2020,12,14,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,1,8.2,770,380,4.87,0.017
439,29-12-20,14:05,2020,12,29,Otegen Batyr village,KZ,KZ-3,streamwater,43.4063,77.01521,2,8.1,840,410,5.66,0
