Sample_n,Date,Time,Year,Month,Day,Location,Country,Site,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO3-N [mg/L]  ,PO4-P [mg/L]
2,19-06-19,14:55,2019,6,19,Baityk,KG,KG-3,streamwater,42.647609,74.495405,12,7.8,100,50,0.861,0
8,05-07-19,14:30,2019,7,5,Baityk,KG,KG-3,streamwater,42.647609,74.495405,14,7.5,50,20,0.706,0.007
13,16-07-19,11:35,2019,7,16,Baityk,KG,KG-3,streamwater,42.647609,74.495405,10,7.4,50,20,0.776,0.05
18,05-08-19,15:15,2019,8,5,Baityk,KG,KG-3,streamwater,42.647609,74.495405,13,7.6,50,20,0.832,0.008
23,16-08-19,14:55,2019,8,16,Baityk,KG,KG-3,streamwater,42.647609,74.495405,9,7.2,50,20,0.587,0.01
32,04-09-19,10:37,2019,9,4,Baityk,KG,KG-3,streamwater,42.647609,74.495405,7,7.4,70,30,0.568,0.005
37,18-09-19,13:00,2019,9,18,Baityk,KG,KG-3,streamwater,42.647609,74.495405,12,7.9,90,40,0.713,0.006
43,04-10-19,15:37,2019,10,4,Baityk,KG,KG-3,streamwater,42.647609,74.495405,10,7.8,100,50,0.376,0.741
48,17-10-19,12:13,2019,10,17,Baityk,KG,KG-3,streamwater,42.647609,74.495405,6,7.6,120,50,0.38,0.517
53,01-11-19,12:37,2019,11,1,Baityk,KG,KG-3,streamwater,42.647609,74.495405,8,8,120,60,0.524,0.559
58,18-11-19,16:25,2019,11,18,Baityk,KG,KG-3,streamwater,42.647609,74.495405,4,7.7,140,60,0.094,0.023
63,06-12-19,14:45,2019,12,6,Baityk,KG,KG-3,streamwater,42.647609,74.495405,5,7.8,140,70,0.82,0.223
68,19-12-19,14:50,2019,12,19,Baityk,KG,KG-3,streamwater,42.647609,74.495405,2,7.2,150,70,0.973,0.008
72,10-01-20,14:50,2020,1,10,Baityk,KG,KG-3,streamwater,42.647609,74.495405,3,7.7,280,140,0.234,0.361
75,16-01-20,13:30,2020,1,16,Baityk,KG,KG-3,streamwater,42.647609,74.495405,3,8,140,70,0.006,0.295
80,06-02-20,12:10,2020,2,6,Baityk,KG,KG-3,streamwater,42.647609,74.495405,4,7.9,120,60,1.18,0.025
83,18-02-20,14:30,2020,2,18,Baityk,KG,KG-3,streamwater,42.647609,74.495405,3,7.8,130,60,0.835,0.012
88,05-03-20,13:30,2020,3,5,Baityk,KG,KG-3,streamwater,42.647609,74.495405,4,8,150,70,0.898,0.008
92,19-03-20,11:50,2020,3,19,Baityk,KG,KG-3,streamwater,42.647609,74.495405,8,7.9,150,70,0.95,0.437
97,05-06-20,16:05,2020,6,5,Baityk,KG,KG-3,streamwater,42.647609,74.495405,16,7.4,70,30,0.587,0.042
101,17-06-20,15:25,2020,6,17,Baityk,KG,KG-3,streamwater,42.647609,74.495405,13,7.4,80,40,0.093,-0.084
106,28-07-20,18:00,2020,7,28,Baityk,KG,KG-3,streamwater,42.647609,74.495405,10,7.8,60,30,0.882,0.026
110,18-08-20,15:00,2020,8,18,Baityk,KG,KG-3,streamwater,42.647609,74.495405,8,7.5,60,30,0.71,0.298
115,08-09-20,12:40,2020,9,8,Baityk,KG,KG-3,streamwater,42.647609,74.495405,8,7.7,80,40,0.244,0.003
119,17-09-20,15:05,2020,9,17,Baityk,KG,KG-3,streamwater,42.647609,74.495405,10,7.6,100,40,0.725,0.032
124,08-10-20,12:50,2020,10,8,Baityk,KG,KG-3,streamwater,42.647609,74.495405,7,7.8,120,60,0.658,0.021
128,19-10-20,12:30,2020,10,19,Baityk,KG,KG-3,streamwater,42.647609,74.495405,6,7.2,130,60,0.389,0.484
133,08-11-20,14:00,2020,11,8,Baityk,KG,KG-3,streamwater,42.647609,74.495405,2,8,120,60,0.776,0.211
138,01-12-20,14:00,2020,12,1,Baityk,KG,KG-3,streamwater,42.647609,74.495405,2,7.8,150,70,0.748,0.466
27,29-05-19,16:56,2019,5,29,"Kishi Almaty river, upstream ",KZ,KZ-1,streamwater,43.17401,77.01527,15,8.1,210,100,0.86,0.005
