Sample ID ,Sample Nr. Logbooks,Date,month,Time,Location,Sample description,Sample type,Country,Coordinate 1,Coordinate 2,T [ºC],pH,EC [µS/cm],TDS [mg/L],NO+3-N_Sp [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  ,Cl- [mg/L],SO42-[mg/L],F- [mg/L],NO+3-N_IC [mg/L]  ,Ca [mg/l],Mg [mg/L],Na [mg/l],K [mg/L],Fe[mg/L],Al [ug/L],As [ug/L],Ba [ug/L],Cd [ug/L],Co [ug/L],Cr [ug/L],Cu [ug/L],Li [ug/L],Mn [ug/L],Ni [ug/L],Pb [ug/L],Sr [ug/L],Zn[ug/L]
1,,29-10-2019,10,11:05,upstream of Almaty city,KA101,streamwater,KZ,43.17401,77.01527,3,8.1,210,100,0.886,0.01,0.006,6.06,9.32,0.69,0.802,33.5,3.6,5,0.9,0,5.5,,8.62,0.23,,0.31,,1.69,1.09,1.88,0.14,123.59,0.42
2,,29-10-2019,10,11:41,"city, Makataeva-Kopernika str. crossing",KA102,streamwater,KZ,43.25161,76.95948,5,8.2,250,120,1.01,0.012,0.01,6.01,11.37,0.64,0.77,40.4,5.1,6.2,1,0.02,5.62,,10.9,0.09,,0.52,,2.13,1.59,2.45,0.89,163.41,1.67
3,,29-10-2019,10,12:37,Otegen Batyr village,KA103,streamwater,KZ,43.4063,77.01521,8,8.4,730,360,3.94,0.033,0.012,26.1,88,0.83,3.583,78.3,29.6,43.1,2.7,0.01,6.8,0.82,40.58,0.5,,2.26,,15.76,10.57,1.13,0.64,771.67,0.82
4,,29-10-2019,10,09:50,Potable water,KA104,drinking,KZ,43.270285,76.972998,12,7.8,180,90,,,,3.9,11.57,0.62,0.657,30.5,3.3,5.5,1.1,0.02,19.95,0.95,16.3,0.44,,0.37,,1.63,1.35,6.55,8.51,122.79,10.94
5,,28-10-2019,10,07:58,BAL,UA101,reservoir,KZ,43.05687,76.98622,4,8.1,120,60,0.627,0.006,0.002,0.57,8.45,0.43,0.481,23.8,2.5,2.6,0.7,0,9.08,,62.27,,0.04,0.38,,0.89,0.57,1.44,,147.23,0.34
6,,28-10-2019,10,08:45,FPP,UA102,streamwater,KZ,43.19164,76.89008,4,8.1,180,90,0.712,0.015,0.007,1.15,10.77,0.55,0.583,29.5,3,4.3,1.2,0.01,7.48,0.69,25.41,,,0.35,,1.91,1.04,5.11,0.51,120.32,0.33
7,,28-10-2019,10,09:44,Darhan,UA103,streamwater,KZ,43.31162,76.86975,6,8,310,150,1.34,0.012,0.008,23.4,15.95,0.58,1.206,42.1,4.4,13.3,1.5,0.01,2.81,,35.15,,0.09,0.59,,3.57,2.92,1.34,0.66,290.44,0.96
8,,28-10-2019,10,10:25,Kazcik,UA104,streamwater,KZ,43.39003,76.88078,7,8,400,190,1.86,0.015,0.009,24.8,28.7,0.63,1.678,53.2,8.8,18.7,2.2,0,,2.05,58.57,,,0.37,,4.95,70.91,3.17,0.37,373.6,0.78
9,,28-10-2019,10,11:20,Kosozen (UA),UA105,streamwater,KZ,43.56118,76.90803,8,8.2,500,240,2.99,0.015,0.006,26.6,52.6,0.78,2.83,59.3,14.3,26.6,2.4,0.01,5.71,1.62,65.63,,,0.47,,6.87,1.15,3.53,0.03,510.08,0.43
10,,28-10-2019,10,11:37,Kaskelen (Kas),Kas106,streamwater,KZ,43.56196,76.89783,9,8.3,600,300,1.84,0.014,0.009,17.8,98.5,0.99,1.577,65.5,20.8,39.3,2.2,0,3.32,,38.46,,,1.13,,9.59,5.93,1.82,,501.99,0.12
