Sample ID ICP,Sample ID Logbooks,Date,month,Time,Location,Sample description,Sample type,Country,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe-Dis [mg/L]  ,Ca [mg/l],Mg [mg/L],Na [mg/l],K [mg/L],Fe-Tot [mg/L],Al [ug/L],As [ug/L],Ba [ug/L],Cd [ug/L],Co [ug/L],Cr [ug/L],Cu [ug/L],Li [ug/L],Mn [ug/L],Ni [ug/L],Pb [ug/L],Sr [ug/L],Zn [ug/L]
1,1,23-07-2019,7,08:40,Maykhura river,"MH1, stream water",streamwater,TJ,39.026767,68.784795,7,8.2,170,80,0.46,0.006,0.02,28,4.1,0.7,0.5,0,6.2,2.6,6.4,2.4,0.1,0.2,1.6,1.3,1.3,,6.1,48.5,5.5
2,2,23-07-2019,7,10:00,"Varzob river, Gauging station","GP2, streamwater",streamwater,TJ,38.872408,68.832686,9,8.1,110,60,0.54,0.014,0.01,22.4,2.8,0.9,0.5,0,7.3,4.4,8.7,1.6,0.1,0.1,2.8,1.1,2.2,0,5.1,50,3.3
3,3,23-07-2019,7,11:20,Luchob river,"LU3, streamflow",streamwater,TJ,38.587298,68.771622,22,8.2,110,50,0.44,0.006,0.02,21.2,2.4,2.6,0.7,0,15.8,1,26.2,1.1,0.1,0.2,1,2,4.7,0.1,4.3,148.8,1.2
4,4,23-07-2019,7,14:50,Kafarnigan river,"KF3, streamflow",streamwater,TJ,38.493434,68.783604,19,8,110,60,0.63,0.009,0.02,27,4.1,1.6,0.8,0,14.2,3.9,23,1.1,0,,2.5,1.6,0.4,,3.4,100,1.1
5,5,23-07-2019,7,13:15,"South-East water uptake,  drinking water facility","GWP4, groundwater",groundwater,TJ,38.522381,68.720056,22,7.2,460,220,5.82,0.006,0.01,88.7,16.4,17.5,1.9,0,7.1,1.2,76.6,1.5,,3.5,1.5,4.9,0.1,0.3,4.5,462.1,0.7
6,6,23-07-2019,7,15:09,Potable water well,"GWP6, groundwater",groundwater,TJ,38.489616,68.785221,21,6.9,700,350,10,0.006,0.02,115.6,16.5,17.2,5.5,0,7.4,1.8,128.7,1.6,0,,0.9,4.4,0.1,0,4.2,413.7,0.6
8,25,31-07-2019,7,12:30,"Pskem river, Mulala gaging station",streamwater,streamwater,UZ,41.771928,70.190761,13,8.1,160,70,0.566,0.005,0,27.7,4,0.8,0.5,0,9.7,1,47.1,0.6,0,,0.5,1.7,0.8,,2.9,118.6,1.1
9,26,31-07-2019,7,13:50,"Chircik river, downstream Charvak reserv. Dam",streamwater,streamwater,UZ,41.630271,69.953152,15,8.4,170,80,0.387,0.01,0,29.9,4.9,1.9,0.6,0,8.2,0.4,59.9,0.4,0.1,,1.1,1.8,3.6,0.1,2.6,132.8,0.5
10,27,31-07-2019,7,14:10,"Spring on left bank of Chirhik, Hodjakent vil.",groundwater,groundwater,UZ,41.622935,69.940481,16,8.2,270,130,1.77,0.015,0,48.4,10,3.3,0.5,0,5.9,2.4,60.1,0.4,,0.2,0.7,4.5,0.1,0.2,2.2,274.4,1.2
11,28,31-07-2019,7,15:55,"Chircik river, downstream Gazalkent town",streamwater,streamwater,UZ,41.52991,69.68849,17,8,260,130,0.813,0.006,0,36.3,6.9,8,0.7,0,6.1,1.7,58,0.4,,,,2.2,0.3,,2.5,175.3,0.6
