Sample Nr,Date sampled,Time,Month,Location,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
1,23-07-2019,08:40,7,Maykhura river,"MH1, stream water",streamwater,39.026767,68.784795,7,8.2,170,80,0.46,0.006,0.02
2,23-07-2019,10:00,7,"Varzob river, Gauging station","GP2, streamwater",streamwater,38.872408,68.832686,9,8.1,110,60,0.54,0.014,0.01
3,23-07-2019,11:20,7,Luchob river,"LU3, streamflow",streamwater,38.587298,68.771622,22,8.2,110,50,0.44,0.006,0.02
4,23-07-2019,14:50,7,Kafarnigan river,"KF3, streamflow",streamwater,38.493434,68.783604,19,8,110,60,0.63,0.009,0.02
5,23-07-2019,13:15,7,"South-East water uptake,  drinking water facility","GWP4, groundwater",groundwater,38.522381,68.720056,22,7.2,460,220,5.82,0.006,0.01
6,23-07-2019,15:09,7,Potable water well,"GWP6, groundwater",groundwater,38.489616,68.785221,21,6.9,700,350,10,0.006,0.02
7,07-08-2019,08:30,8,Maykhura river,"MH1, stream water",streamwater,39.026767,68.784795,8,8.2,150,80,0.56,0.025,0.01
8,07-08-2019,09:22,8,"Varzob river, Gauging station","GP2, streamwater",streamwater,38.872408,68.832686,10,8.1,110,60,0.47,0.009,0.01
9,07-08-2019,10:48,8,Luchob river,"LU3, streamflow",streamwater,38.587298,68.771622,23,8.3,130,60,0.34,0.023,0.01
10,07-08-2019,13:09,8,Kafarnigan river,"KF3, streamflow",streamwater,38.493434,68.783604,20,7.4,280,140,2.59,0.017,0.03
11,07-08-2019,11:30,8,"South-East water uptake,  drinking water facility","GWP4, groundwater",groundwater,38.522381,68.720056,21,7.3,570,300,6.03,0.023,0.02
12,07-08-2019,11:30,8,Potable water well,"GWP6, groundwater",groundwater,38.489616,68.785221,19,6.9,900,460,16.7,0.021,0.02
13,21-08-2019,08:04,8,Maykhura river,"MH1, stream water",streamwater,39.026767,68.784795,7,8.3,180,90,0.37,0.017,0.1
14,21-08-2019,08:52,8,"Varzob river, Gauging station","GP2, streamwater",streamwater,38.872408,68.832686,10,8.2,120,60,0.42,0.011,0.1
