Sample Nr,Date sampled,Time,Month,Location,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
1,03-06-2019,13:14,6,"Pskem river, Mulala gaging station",muddy water,streamwater,41.771928,70.190761,11,8.2,160,80,0.57,,0
2,03-06-2019,14:35,6,"Chircik river, downstream Charvak reserv. Dam",clear water,streamwater,41.630271,69.953152,14,8.3,190,90,0.7,,
3,03-06-2019,14:57,6,"Spring on left bank of Chirhik, Hodjakent vil.",clear water,groundwater,41.622935,69.940481,15,8,260,130,1.24,,0
4,03-06-2019,15:30,6,"Chircik river, downstream Gazalkent town",clear water,streamwater,41.52991,69.68849,19,7.6,580,290,2.01,,0.01
5,03-06-2019,15:55,6,"Chirhik river, near Chirchik town",clear water,streamwater,41.430512,69.582846,15,8.4,210,100,0.64,,0
6,03-06-2019,16:58,6,Chirchik river near Tashkent,clear water,streamwater,41.262264,69.375302,19,8.2,240,120,1.48,,0.02
7,03-06-2019,18:10,6,"Chirhik river, downstream Tashkent town",clear water,streamwater,41.168056,69.231661,20,8,280,140,1.75,,0.01
8,03-06-2019,19:10,6,Chirchik river near inflow to Syrdarya river,muddy water,streamwater,40.900364,68.709182,23,8,500,250,2.03,0.06,
9,16-06-2019,13:14,6,"Pskem river, Mulala gaging station",clear water,streamwater,41.771928,70.190761,12,8.2,150,70,0.55,,0
10,16-06-2019,14:35,6,"Chircik river, downstream Charvak reserv. Dam",clear water,streamwater,41.630271,69.953152,14,8.3,180,90,0.58,,
11,16-06-2019,14:57,6,"Spring on left bank of Chirhik, Hodjakent vil.",clear water,groundwater,41.622935,69.940481,16,8.1,260,120,1.07,,
12,16-06-2019,15:30,6,"Chircik river, downstream Gazalkent town",clear water,streamwater,41.52991,69.68849,18,8.2,150,70,1.13,0.12,
13,16-06-2019,15:55,6,"Chirhik river, near Chirchik town",clear water,streamwater,41.430512,69.582846,18,8.4,210,140,0.79,,
14,16-06-2019,16:58,6,Chirchik river near Tashkent,muddy water,streamwater,41.262264,69.375302,21,7.9,460,230,5.16,,
15,16-06-2019,18:10,6,"Chirhik river, downstream Tashkent town",clear water,streamwater,41.168056,69.231661,28,7.8,510,250,4.71,,0
16,16-06-2019,19:10,6,Chirchik river near inflow to Syrdarya river,muddy water,streamwater,40.900364,68.709182,25,8.1,810,400,2.57,2.67,0
17,02-07-2019,12:45,7,"Pskem river, Mulala gaging station",muddy water,streamwater,41.771928,70.190761,12,8.2,140,70,0.64,,0.05
18,02-07-2019,13:45,7,"Chircik river, downstream Charvak reserv. Dam",clear water,streamwater,41.630271,69.953152,13,8.3,170,80,0.63,,0.05
19,02-07-2019,15:15,7,"Spring on left bank of Chirhik, Hodjakent vil.",clear water,groundwater,41.622935,69.940481,16,8.2,250,120,6.73,,0.05
20,02-07-2019,16:30,7,"Chircik river, downstream Gazalkent town",clear water,streamwater,41.52991,69.68849,18,8.2,240,120,3.58,,0.04
21,02-07-2019,15:10,7,"Chirhik river, near Chirchik town",clear water,streamwater,41.430512,69.582846,18,8.3,200,100,0.74,,0.05
22,02-07-2019,17:10,7,Chirchik river near Tashkent,clear water,streamwater,41.262264,69.375302,27,8.5,390,190,4.44,0.06,0.06
23,02-07-2019,18:20,7,"Chirhik river, downstream Tashkent town",clear water,streamwater,41.168056,69.231661,26,8.1,490,240,4.17,,0.06
24,02-07-2019,19:10,7,Chirchik river near inflow to Syrdarya river,clear water,streamwater,40.900364,68.709182,27,8,800,390,1.92,0.02,0.06
25,31-07-2019,12:30,7,"Pskem river, Mulala gaging station",streamwater,streamwater,41.771928,70.190761,13,8.1,160,70,0.57,0.01,0
26,31-07-2019,13:50,7,"Chircik river, downstream Charvak reserv. Dam",streamwater,streamwater,41.630271,69.953152,15,8.4,170,80,0.39,0.01,0
27,31-07-2019,14:10,7,"Spring on left bank of Chirhik, Hodjakent vil.","springwater, GW",groundwater,41.622935,69.940481,16,8.2,270,130,1.77,0.02,
