Sample ID ICP,Date,month,Time,Location,Sample description,Sample type,Country,Period,T [C],pH,EC [microS/cm],TDS [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe-Dis [mg/L]  ,Ca [mg/l],Mg [mg/l],Na [mg/l],K [mg/L],Fe-Tot [mg/L],Al [ug/L],As [ug/L],Ba [ug/L],Cd [ug/L],Co [ug/L],Cr [ug/L],Cu [ug/L],Li [ug/L],Mn [ug/L],Ni [ug/L],Pb [ug/L],Sr [ug/L],Zn [ug/L]
15,31-07-19,7,08:10,Chirchik river near inflow to Syrdarya river,streamwater,streamwater,UZ,HF,27,8,880,430,0.836,0.067,0.02,101.2,41,71.3,3.2,0,7.6,6.4,89.6,0.9,0,,,12.7,175.1,0.8,0.9,946.2,0.4
1,23-07-19,7,08:40,Maykhura river,"MH1, stream water",streamwater,TJ,HF,7,8.2,170,80,0.46,0.006,0.02,28,4.1,0.7,0.5,0,6.2,2.6,6.4,2.4,0.1,0.2,1.6,1.3,1.3,,6.1,48.5,5.5
14,31-07-19,7,09:10,"Chirhik river, downstream Tashkent town",streamwater,streamwater,UZ,HF,23,7.7,610,300,4.76,0.005,0,83.8,14.3,20.4,2.4,0,8,2.3,146.2,0.7,0,0.3,0.6,2.9,2.8,0.5,2.7,340.2,4.1
2,23-07-19,7,10:00,"Varzob river, Gauging station","GP2, streamwater",streamwater,TJ,HF,9,8.1,110,60,0.54,0.014,0.01,22.4,2.8,0.9,0.5,0,7.3,4.4,8.7,1.6,0.1,0.1,2.8,1.1,2.2,0,5.1,50,3.3
13,31-07-19,7,10:30,Chirchik river near Tashkent,streamwater,streamwater,UZ,HF,24,7.9,510,250,4.47,0.075,0.01,61.4,9.8,35.1,2.2,0,7.5,3.7,113.3,0.6,0.1,,0.5,3.7,3.7,0.8,2.2,262.6,0.6
3,23-07-19,7,11:20,Luchob river,"LU3, streamflow",streamwater,TJ,HF,22,8.2,110,50,0.44,0.006,0.02,21.2,2.4,2.6,0.7,0,15.8,1,26.2,1.1,0.1,0.2,1,2,4.7,0.1,4.3,148.8,1.2
8,31-07-19,7,12:30,"Pskem river, Mulala gaging station",streamwater,streamwater,UZ,HF,13,8.1,160,70,0.566,0.005,0,27.7,4,0.8,0.5,0,9.7,1,47.1,0.6,0,,0.5,1.7,0.8,,2.9,118.6,1.1
5,23-07-19,7,13:15,"South-East water uptake,  drinking water facility","GWP4, groundwater",groundwater,TJ,HF,22,7.2,460,220,5.82,0.006,0.01,88.7,16.4,17.5,1.9,0,7.1,1.2,76.6,1.5,,3.5,1.5,4.9,0.1,0.3,4.5,462.1,0.7
9,31-07-19,7,13:50,"Chircik river, downstream Charvak reserv. Dam",streamwater,streamwater,UZ,HF,15,8.4,170,80,0.387,0.01,0,29.9,4.9,1.9,0.6,0,8.2,0.4,59.9,0.4,0.1,,1.1,1.8,3.6,0.1,2.6,132.8,0.5
10,31-07-19,7,14:10,"Spring on left bank of Chirhik, Hodjakent vil.",groundwater,groundwater,UZ,HF,16,8.2,270,130,1.77,0.015,0,48.4,10,3.3,0.5,0,5.9,2.4,60.1,0.4,,0.2,0.7,4.5,0.1,0.2,2.2,274.4,1.2
