Sample Nr,Date sampled,Time,Month,Location,Country,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
1,26-04-19,11:10,4,BAL,KZ,UA101,reservoir,43.05687,76.98622,5,8.3,130,60,0.6,0.033,
2,26-04-19,12:40,4,FPP,KZ,UA102,streamwater,43.19164,76.89008,6,8.2,190,90,0.76,0.015,
3,26-04-19,13:40,4,Darhan,KZ,UA103,streamwater,43.31162,76.86975,9,8,280,140,1.33,0.018,
4,26-04-19,15:23,4,Kazcik,KZ,UA104,streamwater,43.39003,76.88078,11,8.2,320,150,1.44,0.001,
5,26-04-19,17:11,4,Kosozen (UA),KZ,UA105,streamwater,43.56118,76.90803,14,8.2,530,260,1.45,0.026,
6,26-04-19,17:29,4,Kaskelen (Kas),KZ,Kas106,streamwater,43.56196,76.89783,14,8.2,620,310,0.54,0.026,
7,26-04-19,20:10,4,Arna village,KZ,Kas107,streamwater,43.7784,77.13354,15,8.2,710,350,0.36,0.017,
8,26-04-19,21:14,4,Groundwater (springwater),KZ,G109,groundwater,,,14,8.3,210,100,2.56,0.049,
9,26-04-19,18:25,4,AgroBioCenter,KZ,G108,groundwater,43.46581,76.97755,12,8.1,290,140,1.74,0.004,
10,17-05-19,06:15,5,BAL,KZ,UA101,reservoir,43.05687,76.98622,5,8.2,130,60,0.54,0.005,
11,17-05-19,08:15,5,FPP,KZ,UA102,streamwater,43.19164,76.89008,6,8.2,190,90,0.78,0.003,
12,17-05-19,09:10,5,Darhan,KZ,UA103,streamwater,43.31162,76.86975,10,8,340,170,1.63,0.003,0
13,17-05-19,10:05,5,Kazcik,KZ,UA104,streamwater,43.39003,76.88078,17,8.1,440,220,0.95,0,0.01
14,17-05-19,11:40,5,Kosozen (UA),KZ,UA105,streamwater,43.56118,76.90803,19,8.4,650,320,3.81,0.005,0.12
15,17-05-19,12:10,5,Kaskelen (Kas),KZ,Kas106,streamwater,43.56196,76.89783,17,8.4,750,370,2.07,0.032,0
16,17-05-19,15:00,5,Arna village,KZ,Kas107,streamwater,43.7784,77.13354,21,8.4,670,330,2.67,0.035,0
17,17-05-19,16:10,5,AgroBioCenter,KZ,G108,groundwater,43.46581,76.97755,14,8.3,200,100,0.57,0.018,0
18,17-05-19,14:25,5,Kapshagay,KZ,Kapshagay,reservoir,43.79377,77.14736,23,8,960,470,0.16,0.002,0.03
19,30-05-19,06:34,5,BAL,KZ,UA101,reservoir,43.05687,76.98622,7,8.1,140,60,0.56,0,0
20,30-05-19,07:46,5,FPP,KZ,UA102,streamwater,43.19164,76.89008,8,8.1,180,90,0.65,0.01,0.01
21,30-05-19,08:45,5,Darhan,KZ,UA103,streamwater,43.31162,76.86975,11,8,250,120,1.12,0,0.01
22,30-05-19,09:30,5,Kazcik,KZ,UA104,streamwater,43.39003,76.88078,19,8.2,460,230,1.25,0.006,0.01
23,30-05-19,10:30,5,Kosozen (UA),KZ,UA105,streamwater,43.56118,76.90803,20,8.3,640,320,3.2,0.011,0
24,30-05-19,10:50,5,Kaskelen (Kas),KZ,Kas106,streamwater,43.56196,76.89783,20,8.4,780,390,1.86,0.024,0
25,30-05-19,12:15,5,Arna village,KZ,Kas107,streamwater,43.7784,77.13354,22,8.3,800,390,2.36,0.032,0
26,30-05-19,13:12,5,AgroBioCenter,KZ,G108,groundwater,43.46581,76.97755,13,8.2,220,110,0.57,0.016,0
27,29-05-19,16:56,5,upstream of Almaty city,KZ,KA101,streamwater,43.17401,77.01527,15,8.1,210,100,0.86,0.005,0.02
28,29-05-19,17:55,5,"city, Makataeva-Kopernika str. Crossing",KZ,KA102,streamwater,43.25161,76.95948,17,8.3,220,110,4.02,0.013,0.01
29,29-05-19,19:30,5,Otegen Batyr village,KZ,KA103,streamwater,43.4063,77.01521,19,8.1,680,340,0.95,0,0.01
30,11-06-19,06:59,6,BAL,KZ,UA101,reservoir,43.05687,76.98622,7,8.1,130,60,0.95,0.004,0.02
31,11-06-19,09:36,6,FPP,KZ,UA102,streamwater,43.19164,76.89008,8,8.2,170,80,0.97,0.009,0.02
32,11-06-19,10:31,6,Darhan,KZ,UA103,streamwater,43.31162,76.86975,13,8.2,210,100,2.72,0.029,0.03
33,11-06-19,11:09,6,Kazcik,KZ,UA104,streamwater,43.39003,76.88078,15,8.2,260,130,0.9,0.004,0.01
34,11-06-19,12:17,6,Kosozen (UA),KZ,UA105,streamwater,43.56118,76.90803,19,8.3,350,170,1.47,0.005,0.01
35,11-06-19,13:05,6,Kaskelen (Kas),KZ,Kas106,streamwater,43.56196,76.89783,18,8.3,600,300,1.31,0.022,0.01
36,11-06-19,14:35,6,Arna village,KZ,Kas107,streamwater,43.7784,77.13354,21,8.4,560,280,1.67,0.018,0.01
37,11-06-19,15:32,6,AgroBioCenter,KZ,G108,groundwater,43.46581,76.97755,13,8.4,200,100,0.58,0.012,0.01
38,12-06-19,10:23,6,upstream of Almaty city,KZ,KA101,streamwater,43.17401,77.01527,8,8.2,180,80,0.68,0.012,0.02
39,12-06-19,11:02,6,"city, Makataeva-Kopernika str. Crossing",KZ,KA102,streamwater,43.25161,76.95948,10,8.3,210,100,0.59,0.008,0.01
40,12-06-19,11:56,6,Otegen Batyr village,KZ,KA103,streamwater,43.4063,77.01521,15,8.2,540,260,0.93,0.008,0.02
41,25-06-19,05:55,6,BAL,KZ,UA101,reservoir,43.05687,76.98622,8,8.3,130,60,0.6,,0.01
42,25-06-19,08:00,6,FPP,KZ,UA102,streamwater,43.19164,76.89008,9,8.2,150,70,0.65,0.013,0.01
43,25-06-19,08:55,6,Darhan,KZ,UA103,streamwater,43.31162,76.86975,15,8.3,200,100,0.89,0.01,0.01
44,25-06-19,10:00,6,Kazcik,KZ,UA104,streamwater,43.39003,76.88078,18,8.2,280,140,0.86,0.005,0.01
45,25-06-19,11:05,6,Kosozen (UA),KZ,UA105,streamwater,43.56118,76.90803,22,8.5,430,210,2.15,0.004,0.03
46,25-06-19,11:35,6,Kaskelen (Kas),KZ,Kas106,streamwater,43.56196,76.89783,20,8.4,490,240,1.38,0.029,0.01
47,25-06-19,13:08,6,Arna village,KZ,Kas107,streamwater,43.7784,77.13354,25,8.4,550,270,1.85,0.02,0.01
48,25-06-19,14:05,6,AgroBioCenter,KZ,G108,groundwater,43.46581,76.97755,14,8.4,200,100,0.55,0.022,0.01
49,27-06-19,10:18,6,upstream of Almaty city,KZ,KA101,streamwater,43.17401,77.01527,10,8.1,180,90,0.87,0.008,0.01
50,27-06-19,10:51,6,"city, Makataeva-Kopernika str. Crossing",KZ,KA102,streamwater,43.25161,76.95948,14,8.3,200,100,0.88,0.006,0.01
51,27-06-19,12:05,6,Otegen Batyr village,KZ,KA103,streamwater,43.4063,77.01521,21,8.3,750,370,4.01,0.019,0.01
52,08-07-19,06:30,7,BAL,KZ,UA101,reservoir,43.05687,76.98622,9,8.3,130,60,0.7,0.003,0.01
53,08-07-19,08:00,7,FPP,KZ,UA102,streamwater,43.19164,76.89008,10,8.5,150,70,0.73,0.013,0.02
54,08-07-19,08:55,7,Darhan,KZ,UA103,streamwater,43.31162,76.86975,15,8.2,190,90,0.83,0.011,0.01
55,08-07-19,10:00,7,Kazcik,KZ,UA104,streamwater,43.39003,76.88078,18,8.3,200,100,0.77,0.006,0.01
56,08-07-19,11:05,7,Kosozen (UA),KZ,UA105,streamwater,43.56118,76.90803,22,8.4,330,160,1.62,0.013,0.01
57,08-07-19,11:19,7,Kaskelen (Kas),KZ,Kas106,streamwater,43.56196,76.89783,21,8.3,460,230,1.46,0.012,0.01
58,08-07-19,13:15,7,Arna village,KZ,Kas107,streamwater,43.7784,77.13354,26,8.4,490,240,1.56,0.022,0.01
59,08-07-19,14:20,7,AgroBioCenter,KZ,G108,groundwater,43.46581,76.97755,14,8.4,200,100,0.61,0.022,0.01
60,08-07-19,12:06,7,Corn field,KZ,Ir1,irrigation ,657818,4818421,26,7.9,950,470,0.86,1.99,0.1
61,09-07-19,09:30,7,upstream of Almaty city,KZ,KA101,streamwater,43.17401,77.01527,9,8.1,170,80,0.86,0.008,0.01
62,09-07-19,10:05,7,"city, Makataeva-Kopernika str. Crossing",KZ,KA102,streamwater,43.25161,76.95948,13,8.2,190,90,0.98,0.009,0.02
63,09-07-19,10:55,7,Otegen Batyr village,KZ,KA103,streamwater,43.4063,77.01521,20,8.2,580,280,4.1,0.039,0.01
64,23-07-19,06:25,7,BAL,KZ,UA101,reservoir,43.05687,76.98622,10,8.5,120,60,0.61,0.008,0.01
65,23-07-19,08:00,7,FPP,KZ,UA102,streamwater,43.19164,76.89008,17,8.6,150,70,0.55,0.011,0.02
66,23-07-19,08:45,7,Darhan,KZ,UA103,streamwater,43.31162,76.86975,16,8.3,190,90,0.96,0.002,0.03
