"item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Sample Nr1","1","AgroBioCenter",1,12,66.3333333333333,40.1889476740996,65,66,49.6671,9,127,118,0.075329646471364,-1.56088119931899,11.6015498790446
"Sample Nr2","2","Alplager",1,9,23.4444444444444,16.047672036086,22,23.4444444444444,20.7564,1,47,46,0.059477809827587,-1.66614337550242,5.34922401202868
"Sample Nr3","3","Arna village",1,12,65.25,40.3194629293235,64,65,49.6671,7,126,119,0.06752683474242,-1.55449018456958,11.639226387913
"Sample Nr4","4","Baityk",1,9,24.8888888888889,16.0502682566713,23,24.8888888888889,20.7564,2,48,46,0.042941841918433,-1.66890227255944,5.35008941889044
"Sample Nr5","5","BAL",1,12,59.25,40.3194629293235,58,59,49.6671,1,120,119,0.06752683474242,-1.55449018456958,11.639226387913
"Sample Nr6","6","Bore hole near Yangiyul",1,2,49.5,6.36396103067893,49.5,49.5,6.6717,45,54,9,0,-2.75,4.5
"Sample Nr7","7","Bridge",1,9,26.8888888888889,16.0502682566713,25,26.8888888888889,20.7564,4,50,46,0.042941841918433,-1.66890227255944,5.35008941889044
"Sample Nr8","8","Chirchik river near inflow to Syrdarya river",1,7,33.8571428571429,19.633547577455,32,33.8571428571429,23.7216,8,62,54,0.11133415650754,-1.72697514434502,7.42078346341438
"Sample Nr9","9","Chirchik river near Tashkent",1,7,31.8571428571429,19.633547577455,30,31.8571428571429,23.7216,6,60,54,0.111334156507539,-1.72697514434502,7.42078346341438
"Sample Nr10","10","Chircik river, downstream Charvak reserv. Dam",1,7,27.8571428571429,19.633547577455,26,27.8571428571429,23.7216,2,56,54,0.111334156507539,-1.72697514434502,7.42078346341438
"Sample Nr11","11","Chircik river, downstream Gazalkent town",1,7,29.8571428571429,19.633547577455,28,29.8571428571429,23.7216,4,58,54,0.111334156507539,-1.72697514434502,7.42078346341438
"Sample Nr12","12","Chirhik river, downstream Tashkent town",1,7,32.8571428571429,19.633547577455,31,32.8571428571429,23.7216,7,61,54,0.11133415650754,-1.72697514434502,7.42078346341438
"Sample Nr13","13","Chirhik river, near Chirchik town",1,7,30.8571428571429,19.633547577455,29,30.8571428571429,23.7216,5,59,54,0.111334156507539,-1.72697514434502,7.42078346341438
"Sample Nr14","14","city, Makataeva-Kopernika str. Crossing",1,10,76.9,32.4292392071654,78.5,76.5,36.3237,28,129,101,0.001655153506748,-1.4383898308235,10.2550258681076
"Sample Nr15","15","Corn field",1,1,60,NA,60,60,0,60,60,0,NA,NA,NA
"Sample Nr16","16","Darhan",1,12,61.25,40.3194629293235,60,61,49.6671,3,122,119,0.06752683474242,-1.55449018456958,11.639226387913
"Sample Nr17","17","FPP",1,12,60.25,40.3194629293235,59,60,49.6671,2,121,119,0.06752683474242,-1.55449018456958,11.639226387913
"Sample Nr18","18","Groundwater (springwater)",1,1,8,NA,8,8,0,8,8,0,NA,NA,NA
"Sample Nr19","19","Kafarnigan river",1,7,22,12.9614813968157,22,22,17.7912,4,40,36,0,-1.71428571428571,4.89897948556636
"Sample Nr20","20","Kapshagay",1,2,57.5,55.8614357137373,57.5,57.5,58.5627,18,97,79,0,-2.75,39.5
"Sample Nr21","21","Kaskelen (Kas)",1,12,64.25,40.3194629293235,63,64,49.6671,6,125,119,0.06752683474242,-1.55449018456958,11.639226387913
"Sample Nr22","22","Kazcik",1,12,62.25,40.3194629293235,61,62,49.6671,4,123,119,0.06752683474242,-1.55449018456958,11.639226387913
"Sample Nr23","23","Kosozen (UA)",1,12,63.25,40.3194629293235,62,63,49.6671,5,124,119,0.06752683474242,-1.55449018456958,11.639226387913
"Sample Nr24","24","Lake",1,5,23.6,16.9056203672033,21,23.6,20.7564,5,46,41,0.176675915484759,-1.98730863875897,7.56042326857432
"Sample Nr25","25","Luchob river",1,7,21,12.9614813968157,21,21,17.7912,3,39,36,0,-1.71428571428571,4.89897948556636
"Sample Nr26","26","Maykhura river",1,7,19,12.9614813968157,19,19,17.7912,1,37,36,0,-1.71428571428571,4.89897948556636
"Sample Nr27","27","Otegen Batyr village",1,10,77.9,32.4292392071654,79.5,77.5,36.3237,29,130,101,0.001655153506748,-1.4383898308235,10.2550258681076
"Sample Nr28","28","Potable water well",1,7,24,12.9614813968157,24,24,17.7912,6,42,36,0,-1.71428571428571,4.89897948556636
"Sample Nr29","29","Pskem river, Mulala gaging station",1,7,26.7142857142857,19.474036439272,25,26.7142857142857,23.7216,1,55,54,0.112782600699228,-1.70748052889156,7.36049392013194
"Sample Nr30","30","Radnik",1,4,24.25,15.3920975395385,24,24.25,17.7912,7,42,35,0.026454114606548,-2.14195496890933,7.69604876976924
"Sample Nr31","31","South-East water uptake,  drinking water facility",1,7,23,12.9614813968157,23,23,17.7912,5,41,36,0,-1.71428571428571,4.89897948556636
