Sample_ID ,Date,Time,Year,Month,Day,Location,Site,Sample type,Period,Country,"Lat, N","Lon, E",T [C],pH,EC [microS/cm],TDS [mg/L],NO3-N [mg/L],PO4-P [mg/L],HCO3 [mg/L],Cl [mg/L],SO4[mg/L],F [mg/L],Si [mg/L],Ca [mg/l],Mg [mg/L],Na [mg/l],K [mg/L],Fe [ug/L],Al [ug/L],As [ug/L],Ba [ug/L],Cd [ug/L],Co [ug/L],Cr [ug/L],Cu [ug/L],Li [ug/L],Mn [ug/L],Ni [ug/L],Pb [ug/L],Sr [ug/L],Zn [ug/L]
43,23-07-19,08:40,2019,7,23,Maykhura river,TJ-1,streamwater,HF,TJ,39.026767,68.784795,7,8.2,170,80,0.46,0.006,,,,,,28,4.1,0.7,0.5,0.83,6.2,2.6,6.4,2.4,0.1,0.2,1.6,1.3,1.3,,6.1,48.5,5.5
44,23-07-19,10:00,2019,7,23,"Varzob river, gauging station",TJ-2,streamwater,HF,TJ,38.872408,68.832686,9,8.1,110,60,0.54,0.014,,,,,,22.4,2.8,0.9,0.5,1.33,7.3,4.4,8.7,1.6,0.1,0.1,2.8,1.1,2.2,0,5.1,50,3.3
45,23-07-19,11:20,2019,7,23,Luchob river,TJ-3,streamwater,HF,TJ,38.587298,68.771622,22,8.2,110,50,0.44,0.006,,,,,,21.2,2.4,2.6,0.7,1.08,15.8,1,26.2,1.1,0.1,0.2,1,2,4.7,0.1,4.3,148.8,1.2
46,23-07-19,14:50,2019,7,23,Kafarnihon river,TJ-4,streamwater,HF,TJ,38.493434,68.783604,19,8,110,60,0.63,0.009,,,,,,27,4.1,1.6,0.8,1.71,14.2,3.9,23,1.1,0,,2.5,1.6,0.4,,3.4,100,1.1
49,31-07-19,12:30,2019,7,31,"Pskem river, Mulala gaging station",UZ-1,streamwater,HF,UZ,41.771928,70.190761,13,8.1,160,70,0.566,0.005,,,,,,27.7,4,0.8,0.5,1.63,9.7,1,47.1,0.6,0,,0.5,1.7,0.8,,2.9,118.6,1.1
50,31-07-19,13:50,2019,7,31,"Chirchik river, downstream Charvak reservoir dam",UZ-2,streamwater,HF,UZ,41.630271,69.953152,15,8.4,170,80,0.387,0.01,,,,,,29.9,4.9,1.9,0.6,1.99,8.2,0.4,59.9,0.4,0.1,,1.1,1.8,3.6,0.1,2.6,132.8,0.5
52,31-07-19,15:55,2019,7,31,"Chircik river, downstream Gazalkent town",UZ-4,streamwater,HF,UZ,41.52991,69.68849,17,8,260,130,0.813,0.006,,,,,,36.3,6.9,8,0.7,0.43,6.1,1.7,58,0.4,,,,2.2,0.3,,2.5,175.3,0.6
53,31-07-19,16:20,2019,7,31,"Chirhik river, near Chirchik town",UZ-5,streamwater,HF,UZ,41.430512,69.582846,20,8.4,190,90,0.56,0.001,,,,,,31.8,5.4,3.8,0.6,0.79,6.7,,53.2,0.3,0.1,,0.2,1.8,2.6,,2.8,138.2,0.4
54,31-07-19,10:30,2019,7,31,"Chirchik river, near Tashkent",UZ-7,streamwater,HF,UZ,41.262264,69.375302,24,7.9,510,250,4.47,0.075,,,,,,61.4,9.8,35.1,2.2,2.04,7.5,3.7,113.3,0.6,0.1,,0.5,3.7,3.7,0.8,2.2,262.6,0.6
55,31-07-19,09:10,2019,7,31,"Chirchik river, downstream Tashkent",UZ-8,streamwater,HF,UZ,41.168056,69.231661,23,7.7,610,300,4.76,0.005,,,,,,83.8,14.3,20.4,2.4,1.67,8,2.3,146.2,0.7,0,0.3,0.6,2.9,2.8,0.5,2.7,340.2,4.1
