"date","ws","wd"
"1",2015-01-01,5.4,252
"2",2015-01-02,6.6,253
"3",2015-01-03,1.2,143
"4",2015-01-04,9.5,190
"5",2015-01-05,7.5,207
"6",2015-01-06,6.5,227
"7",2015-01-07,8,207
"8",2015-01-08,5.4,149
"9",2015-01-09,6.1,281
"10",2015-01-10,7.6,227
"11",2015-01-11,5,261
"12",2015-01-12,4.2,132
"13",2015-01-13,10.4,181
"14",2015-01-14,7.6,224
"15",2015-01-15,8.4,214
"16",2015-01-16,6.5,227
"17",2015-01-17,7.2,235
"18",2015-01-18,3.1,251
"19",2015-01-19,5.5,191
"20",2015-01-20,6.7,227
"21",2015-01-21,9.2,263
"22",2015-01-22,7,262
"23",2015-01-23,4.5,294
"24",2015-01-24,3,285
"25",2015-01-25,1.6,267
"26",2015-01-26,2.6,251
"27",2015-01-27,10.2,246
"28",2015-01-28,6.7,261
"29",2015-01-29,4.5,266
"30",2015-01-30,1.9,282
"31",2015-01-31,0.7,98
"32",2015-02-01,1.9,125
"33",2015-02-02,1.2,88
"34",2015-02-03,3.4,200
"35",2015-02-04,1,319
"36",2015-02-05,1.9,264
"37",2015-02-06,3.6,179
"38",2015-02-07,2.2,311
"39",2015-02-08,6.6,188
"40",2015-02-09,12,230
"41",2015-02-10,4.6,233
"42",2015-02-11,2.5,276
"43",2015-02-12,6.6,258
"44",2015-02-13,14,244
"45",2015-02-14,9.9,253
"46",2015-02-15,3.7,264
"47",2015-02-16,4.5,191
"48",2015-02-17,3.7,302
"49",2015-02-18,6.5,269
"50",2015-02-19,3.1,226
"51",2015-02-20,5.1,149
"52",2015-02-21,7.6,240
"53",2015-02-22,5.1,248
"54",2015-02-23,6.1,247
"55",2015-02-24,5.7,240
"56",2015-02-25,6.4,292
"57",2015-02-26,6.4,264
"58",2015-02-27,6.7,266
"59",2015-02-28,5.4,268
"60",2015-03-01,2.1,139
"61",2015-03-02,2,129
"62",2015-03-03,1.4,124
"63",2015-03-04,3.9,129
"64",2015-03-05,2.4,65
"65",2015-03-06,4.2,106
"66",2015-03-07,5.5,107
"67",2015-03-08,4.6,118
"68",2015-03-09,2.4,183
"69",2015-03-10,9,224
"70",2015-03-11,8.5,273
"71",2015-03-12,9.5,252
"72",2015-03-13,7.5,263
"73",2015-03-14,3,327
"74",2015-03-15,8.9,255
"75",2015-03-16,5.4,306
"76",2015-03-17,8.5,265
"77",2015-03-18,7.4,260
"78",2015-03-19,5.9,263
"79",2015-03-20,3.5,269
"80",2015-03-21,5.1,243
"81",2015-03-22,4.5,168
"82",2015-03-23,7.7,220
"83",2015-03-24,5,253
"84",2015-03-25,6.9,247
"85",2015-03-26,11,240
"86",2015-03-27,3.6,296
"87",2015-03-28,4.2,347
"88",2015-03-29,4.9,5
"89",2015-03-30,4.1,289
"90",2015-03-31,3.4,300
"91",2015-04-01,2.4,350
"92",2015-04-02,1.5,17
"93",2015-04-03,1.6,343
"94",2015-04-04,2.9,106
"95",2015-04-05,5,86
"96",2015-04-06,4.1,121
"97",2015-04-07,3.1,227
"98",2015-04-08,5.2,246
"99",2015-04-09,4.2,175
"100",2015-04-10,8.6,170
