	date	ws	wd
1	02.01.2013	3.4	175
2	03.01.2013	5	171
3	04.01.2013	3.4	116
4	05.01.2013	4	332
5	06.01.2013	5.1	195
6	07.01.2013	5.5	160
7	08.01.2013	3.6	144
8	09.01.2013	4.4	100
9	10.01.2013	5.1	141
10	11.01.2013	2.7	336
11	12.01.2013	5.2	131
12	13.01.2013	4.1	263
13	14.01.2013	9.2	231
14	15.01.2013	12.5	218
15	16.01.2013	4.2	276
16	17.01.2013	10.1	245
17	18.01.2013	8.1	252
18	19.01.2013	7.7	262
19	20.01.2013	5.7	239
20	21.01.2013	1.6	191
21	22.01.2013	3.1	201
22	23.01.2013	9.4	172
23	24.01.2013	13	233
24	25.01.2013	4.2	219
25	26.01.2013	3	162
26	27.01.2013	11.6	245
27	28.01.2013	6.9	259
28	29.01.2013	5.1	254
29	30.01.2013	5.7	253
30	31.01.2013	5.7	257
31	01.02.2013	2.5	275
32	02.02.2013	3.4	124
33	03.02.2013	4.2	126
34	04.02.2013	3.6	153
35	05.02.2013	3.1	298
36	06.02.2013	4.6	273
37	07.02.2013	3.7	152
38	08.02.2013	6.5	223
39	09.02.2013	3.7	311
40	10.02.2013	5	268
41	11.02.2013	10.6	256
42	12.02.2013	8.9	262
43	13.02.2013	2.4	268
44	14.02.2013	6.9	233
45	15.02.2013	8	288
46	16.02.2013	6.1	283
47	17.02.2013	4.6	218
48	18.02.2013	4.1	242
49	19.02.2013	2.1	279
50	20.02.2013	0.6	286
51	21.02.2013	2	133
52	22.02.2013	3.4	267
53	23.02.2013	5.1	252
54	24.02.2013	8	224
55	25.02.2013	8.7	257
56	26.02.2013	7.6	243
57	27.02.2013	9.7	263
58	28.02.2013	11.1	213
59	01.03.2013	14.5	219
60	02.03.2013	9.1	210
61	03.03.2013	7.2	185
62	04.03.2013	9.1	247
63	05.03.2013	11	243
64	06.03.2013	4.1	107
65	07.03.2013	5.4	89
66	08.03.2013	6.6	247
67	09.03.2013	18	218
68	10.03.2013	15	246
69	11.03.2013	8.6	243
70	12.03.2013	4.7	141
71	13.03.2013	4	252
72	14.03.2013	2.9	164
73	15.03.2013	6.2	197
74	16.03.2013	4.9	23
75	17.03.2013	2.4	129
76	18.03.2013	2.6	269
77	19.03.2013	2.5	265
78	20.03.2013	3.5	38
79	21.03.2013	6.7	129
80	22.03.2013	7.6	281
81	23.03.2013	2.7	158
82	24.03.2013	3.7	213
83	25.03.2013	3.7	272
84	26.03.2013	5.9	129
