date	ws	wd
01.01.2016	2.6	66
02.01.2016	3.1	65
03.01.2016	5.2	104
04.01.2016	4.7	83
05.01.2016	5.1	76
06.01.2016	2.6	48
07.01.2016	2.7	233
08.01.2016	1.6	265
09.01.2016	2.9	157
10.01.2016	7.4	149
11.01.2016	7.2	144
12.01.2016	6.5	212
13.01.2016	7	252
14.01.2016	4.6	265
15.01.2016	3.6	127
16.01.2016	6.4	119
17.01.2016	7.7	73
18.01.2016	2.6	308
19.01.2016	1.1	101
20.01.2016	6.1	152
21.01.2016	6.4	164
22.01.2016	4.5	211
23.01.2016	2.6	86
24.01.2016	7.1	113
25.01.2016	5.1	105
26.01.2016	5.4	110
27.01.2016	5.6	118
28.01.2016	2.5	127
29.01.2016	2	130
30.01.2016	2.2	187
31.01.2016	3.4	148
01.02.2016	1.7	271
02.02.2016	1.5	270
03.02.2016	6.2	169
04.02.2016	10.1	185
05.02.2016	10.4	235
06.02.2016	10.5	233
07.02.2016	4.7	173
08.02.2016	5.4	307
09.02.2016	7	268
10.02.2016	5	257
11.02.2016	8.9	233
12.02.2016	4.6	287
13.02.2016	3.4	69
14.02.2016	4.1	113
15.02.2016	3.1	71
16.02.2016	2.4	279
17.02.2016	6.2	237
18.02.2016	5.9	168
19.02.2016	3.2	242
20.02.2016	1.7	300
21.02.2016	1	61
22.02.2016	3	133
23.02.2016	4.2	207
24.02.2016	4.5	248
25.02.2016	1.7	296
26.02.2016	6.7	156
27.02.2016	9.5	243
28.02.2016	4.2	234
29.02.2016	4	257
01.03.2016	3.1	292
02.03.2016	8.5	276
03.03.2016	6.1	241
04.03.2016	4	213
05.03.2016	4.5	53
06.03.2016	7.4	109
07.03.2016	9.1	117
08.03.2016	6.6	140
09.03.2016	2.7	23
10.03.2016	1.9	9
11.03.2016	3.2	122
12.03.2016	3.9	167
13.03.2016	6.9	185
14.03.2016	8.5	257
15.03.2016	3.5	312
16.03.2016	4.1	130
17.03.2016	15.2	223
18.03.2016	12.1	225
19.03.2016	10.9	203
20.03.2016	12	205
21.03.2016	10.1	203
22.03.2016	8.7	225
23.03.2016	4.1	209
24.03.2016	6.2	115
25.03.2016	8.1	249
26.03.2016	4.9	224
27.03.2016	4.4	163
28.03.2016	3.6	190
29.03.2016	3	348
30.03.2016	4.2	74
31.03.2016	7	108
01.04.2016	4.9	118
02.04.2016	4.5	229
03.04.2016	5.2	239
04.04.2016	3	269
05.04.2016	3.9	126
06.04.2016	6.4	182
07.04.2016	4.7	170
08.04.2016	3.6	222
09.04.2016	5.6	272
10.04.2016	6.9	252
11.04.2016	8.4	261
12.04.2016	4.1	282
13.04.2016	3.4	281
14.04.2016	4.1	218
15.04.2016	3.1	194
16.04.2016	4.5	195
17.04.2016	3.5	323
18.04.2016	3.5	128
19.04.2016	4.7	221
20.04.2016	5.7	198
21.04.2016	4.9	196
22.04.2016	4.5	284
23.04.2016	2.7	215
24.04.2016	5.2	261
25.04.2016	5.4	276
26.04.2016	4.5	294
27.04.2016	2.7	321
28.04.2016	3.2	327
29.04.2016	3.1	304
30.04.2016	3.2	278
01.05.2016	1.7	183
02.05.2016	4.7	47
03.05.2016	3.7	91
04.05.2016	4.1	114
05.05.2016	2.2	92
06.05.2016	2.1	244
07.05.2016	2.9	225
08.05.2016	4.1	4
09.05.2016	1.9	60
10.05.2016	6.4	188
11.05.2016	8.2	268
12.05.2016	4.5	266
